,Unnamed: 0,debt_ebitda,leverage_ratio,totaldebt_invcap,rect_turn,longtermdebt_invcap,capitalization_ratio,roe,debt_ratio2,asset_liabilities,cash_debt,debt_ratio,asset_turnover,roa
Unnamed: 0,1.0,0.0023695924946791572,-0.4132163298052423,-0.40413911866739033,-0.056704863690569395,0.03814866715014733,0.07985434060313254,-0.1670672134892375,-0.08707589397807967,0.22109075094744435,0.003730452628445821,-0.3276176845222428,-0.34892412539191964,-0.13672303879261294
debt_ebitda,0.0023695924946791572,1.0,0.09583439591488702,0.20422349316634003,0.0048106515984024005,0.22902930784970246,0.25418218882308474,0.026502801022164277,0.3266424424153585,-0.04224104812836147,-0.0584442055090279,0.05729416365205864,-0.02615860368336094,-0.07554308719315614
leverage_ratio,-0.4132163298052423,0.09583439591488702,1.0,0.5230065720877393,-0.058665202480019815,0.23920135916218652,0.2418209435099669,-0.10198321426529873,0.1812843456266738,-0.5273051383649973,-0.05772048434991127,0.7289854222510137,0.15832068719208955,-0.2032836734440324
totaldebt_invcap,-0.40413911866739033,0.20422349316634003,0.5230065720877393,1.0,0.04320449598124652,0.23720163648005904,0.1610625377616623,0.0550727935299422,0.5298664601679507,-0.26396503928666776,-0.14654288403068383,0.3819000767448689,0.2236802724751897,-0.05816598795030091
rect_turn,-0.056704863690569395,0.0048106515984024005,-0.058665202480019815,0.04320449598124652,1.0,0.015899757123281708,0.019501642241089395,0.01798428399022659,0.1930604828102351,0.509858290783156,0.09008606256251746,-0.38282667825590233,0.43820699703378524,0.3766042674915652
longtermdebt_invcap,0.03814866715014733,0.22902930784970246,0.23920135916218652,0.23720163648005904,0.015899757123281708,1.0,0.9041108537209589,-0.0562584464258999,0.5924014339964064,-0.130763760897503,-0.05300160488535107,0.18779498100306785,0.018702569945609197,-0.07951249818234604
capitalization_ratio,0.07985434060313254,0.25418218882308474,0.2418209435099669,0.1610625377616623,0.019501642241089395,0.9041108537209589,1.0,-0.07411554391313468,0.6731302296668917,-0.1311016823663479,-0.06390497820577722,0.19077500490175617,-0.00569834427401728,-0.08676184752661627
roe,-0.1670672134892375,0.026502801022164277,-0.10198321426529873,0.0550727935299422,0.01798428399022659,-0.0562584464258999,-0.07411554391313468,1.0,0.019456795842468247,-0.024898393125935878,0.002568113260246252,0.017514858678934386,0.14430865703884813,0.4825502283167818
debt_ratio2,-0.08707589397807967,0.3266424424153585,0.1812843456266738,0.5298664601679507,0.1930604828102351,0.5924014339964064,0.6731302296668917,0.019456795842468247,1.0,-0.008432034904319803,-0.13159492361267994,0.058796972405272416,0.18373159194589622,0.13693493413037444
asset_liabilities,0.22109075094744435,-0.04224104812836147,-0.5273051383649973,-0.26396503928666776,0.509858290783156,-0.130763760897503,-0.1311016823663479,-0.024898393125935878,-0.008432034904319803,1.0,0.13931874338513972,-0.9167743997403671,0.13442672607676232,0.25949428219359544
cash_debt,0.003730452628445821,-0.0584442055090279,-0.05772048434991127,-0.14654288403068383,0.09008606256251746,-0.05300160488535107,-0.06390497820577722,0.002568113260246252,-0.13159492361267994,0.13931874338513972,1.0,-0.10992643695754618,-0.0002938181416792855,0.03650688989713701
debt_ratio,-0.3276176845222428,0.05729416365205864,0.7289854222510137,0.3819000767448689,-0.38282667825590233,0.18779498100306785,0.19077500490175617,0.017514858678934386,0.058796972405272416,-0.9167743997403671,-0.10992643695754618,1.0,-0.039925627307229865,-0.24792482429677234
asset_turnover,-0.34892412539191964,-0.02615860368336094,0.15832068719208955,0.2236802724751897,0.43820699703378524,0.018702569945609197,-0.00569834427401728,0.14430865703884813,0.18373159194589622,0.13442672607676232,-0.0002938181416792855,-0.039925627307229865,1.0,0.5010719741005372
roa,-0.13672303879261294,-0.07554308719315614,-0.2032836734440324,-0.05816598795030091,0.3766042674915652,-0.07951249818234604,-0.08676184752661627,0.4825502283167818,0.13693493413037444,0.25949428219359544,0.03650688989713701,-0.24792482429677234,0.5010719741005372,1.0
