source,target,score
asset_liabilities,leverage_ratio,-4618.858806918808
asset_liabilities,roe,-23.56035555300423
asset_liabilities,debt_ratio,-32923.79967330186
asset_liabilities,rect_turn,-2681.5148274646244
asset_turnover,leverage_ratio,-1102.06711036665
asset_turnover,roe,-317.29320934186126
asset_turnover,capitalization_ratio,-522.3617925897215
asset_turnover,totaldebt_invcap,-1289.828497624363
asset_turnover,rect_turn,-1688.7829356791426
debt_ratio,leverage_ratio,-11910.185814998253
debt_ratio,roe,-7.939993434715689
debt_ratio,roa,-1202.2257482491
debt_ratio,capitalization_ratio,-713.0508153292958
debt_ratio,rect_turn,-673.641487181405
debt_ratio2,leverage_ratio,-479.7272720634428
debt_ratio2,asset_liabilities,7.972111043942391
debt_ratio2,debt_ratio,-319.59120169164817
debt_ratio2,roa,-631.8626815308471
debt_ratio2,capitalization_ratio,-11416.720134895371
debt_ratio2,longtermdebt_invcap,-7686.066532056421
debt_ratio2,totaldebt_invcap,-5706.561880478598
roa,leverage_ratio,-923.4572375444186
roa,roe,-5246.326446277403
roa,asset_turnover,-5159.854653248615
roa,totaldebt_invcap,-1272.6367011466582
roa,rect_turn,-318.65774901830446
cash_debt,asset_liabilities,-341.2340287140815
cash_debt,debt_ratio,-61.090867304032145
cash_debt,debt_ratio2,-246.25816565826904
cash_debt,longtermdebt_invcap,-7.676177277081479
cash_debt,totaldebt_invcap,-123.3831582988887
cash_debt,rect_turn,-0.0039020704789436422
debt_ebitda,roe,-78.14793405408636
debt_ebitda,debt_ratio2,-1951.3654605328302
debt_ebitda,roa,-259.574374024126
