,leverage_ratio,asset_liabilities,roe,asset_turnover,debt_ratio,debt_ratio2,roa,capitalization_ratio,longtermdebt_invcap,totaldebt_invcap,cash_debt,debt_ebitda,rect_turn
leverage_ratio,0.0,0.22407952386959032,0.0,0.1974794707314396,0.0,0.0,0.0,0.0,0.0,0.37766388943229096,0.0,0.0,0.0
asset_liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10869185228672827,0.0,0.0,0.0
asset_turnover,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
debt_ratio,0.788980055584391,-1.048699832940353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28039154714396436
debt_ratio2,0.0,0.0,0.0,0.0,0.0,0.0,0.11369701003865869,0.6865007546243282,0.0,0.79093630488225,0.0,0.30285465879454077,0.1586446596627209
roa,0.0,0.0,0.5460032363209735,0.46582235783212617,-0.21028168542636172,0.0,0.0,-0.1393846282359663,0.0,-0.17767812420181425,0.0,0.0,0.24884649602937922
capitalization_ratio,0.0,0.0,0.0,0.0,0.11007412951491959,0.0,0.0,0.0,0.9275644799487559,-0.8196661716437565,0.0,0.0,0.0
longtermdebt_invcap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3750161955647717,0.0,0.0,0.0
totaldebt_invcap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cash_debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
debt_ebitda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rect_turn,0.2315407782335335,0.12047388491096073,-0.13165978328807934,0.24946671505396747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
