DAG_ID,DAG_TAG,SET,MODEL,MODEL_SEED,N_FEAT,THRESHOLD,TIME_SEC,AUROC,AUPRC,F1,Brier,ECE
0,ds000,F,LightGBM,42,37,0.0975,6.335073709,0.918481447,0.428414024,0.453333333,0.016739698,0.014781364
1,ds001,F,LightGBM,42,37,0.03,6.302145958,0.91355639,0.449686828,0.424870466,0.016282005,0.014897154
2,ds002,F,LightGBM,42,37,0.08,6.517121077,0.902522961,0.425910122,0.436619718,0.01677391,0.014590609
3,ds003,F,LightGBM,42,37,0.03,6.339691162,0.907256226,0.431719235,0.429378531,0.01644915,0.015406081
4,ds004,F,LightGBM,42,37,0.02,5.248546124,0.906261082,0.423156467,0.415458937,0.016995974,0.015219642
5,ds005,F,LightGBM,42,37,0.19,5.242790937,0.921774468,0.431112919,0.444444444,0.016542874,0.015899333
6,ds006,F,LightGBM,42,37,0.03,5.204607725,0.913422498,0.424946827,0.424870466,0.017032342,0.015263157
7,ds007,F,LightGBM,42,37,0.1025,5.06872654,0.904252701,0.431639225,0.433566434,0.016845448,0.015476829
8,ds008,F,LightGBM,42,37,0.035,5.335608482,0.905964349,0.403593978,0.418079096,0.017399347,0.016509794
9,ds009,F,LightGBM,42,37,0.025,5.089131117,0.902678565,0.416497493,0.41025641,0.016927149,0.015852765
10,ds010,F,LightGBM,42,37,0.305,5.217820883,0.916675713,0.409742606,0.375,0.017242109,0.015420942
11,ds011,F,LightGBM,42,37,0.0275,5.269914627,0.909662664,0.422730634,0.432432432,0.017179889,0.016046372
12,ds012,F,LightGBM,42,37,0.125,4.889878035,0.912611908,0.418784569,0.449275362,0.016871824,0.014663491
13,ds013,F,LightGBM,42,37,0.08,5.1877563,0.905808744,0.433279844,0.45751634,0.016841308,0.014974728
14,ds014,F,LightGBM,42,37,0.075,4.950055838,0.930444884,0.44455734,0.473684211,0.016805349,0.015443537
15,ds015,F,LightGBM,42,37,0.035,5.370084047,0.918691332,0.409234516,0.423913043,0.017031167,0.015839225
16,ds016,F,LightGBM,42,37,0.1875,5.079031229,0.904781032,0.420987867,0.456692913,0.016919008,0.015139697
17,ds017,F,LightGBM,42,37,0.0225,5.094016314,0.916393454,0.410547249,0.386138614,0.016968909,0.01463264
18,ds018,F,LightGBM,42,37,0.0125,5.239072084,0.922429453,0.44955173,0.413793103,0.016919863,0.01509955
19,ds019,F,LightGBM,42,37,0.0225,5.096718073,0.922610389,0.432648347,0.42,0.01681308,0.016039064
20,ds020,F,LightGBM,42,37,0.0725,5.143500328,0.905472205,0.417178425,0.461538462,0.016872037,0.014162861
21,ds021,F,LightGBM,42,37,0.0325,4.953490257,0.902099572,0.41441288,0.42,0.016971402,0.01447885
22,ds022,F,LightGBM,42,37,0.0225,5.220369577,0.898871688,0.394379611,0.384615385,0.017509195,0.015365115
23,ds023,F,LightGBM,42,37,0.0125,5.26306057,0.898220321,0.371364551,0.341880342,0.017838181,0.016001696
24,ds024,F,LightGBM,42,37,0.0425,5.050996542,0.913020822,0.403251126,0.45508982,0.017831094,0.016675149
25,ds025,F,LightGBM,42,37,0.015,5.229962111,0.901614666,0.388684302,0.347826087,0.017444126,0.015207587
26,ds026,F,LightGBM,42,37,0.0225,5.062754631,0.907809888,0.412541052,0.41,0.017399882,0.015560384
27,ds027,F,LightGBM,42,37,0.125,4.969907284,0.911851981,0.443174656,0.441176471,0.016810487,0.015478163
28,ds028,F,LightGBM,42,37,0.02,5.183840752,0.918213663,0.460866666,0.415458937,0.016627968,0.015167424
29,ds029,F,LightGBM,42,37,0.0575,5.262580395,0.922845604,0.431481166,0.426829268,0.016820674,0.015540687
30,ds030,F,LightGBM,42,37,0.0275,5.034880638,0.92609882,0.449410183,0.426395939,0.016485326,0.015039811
31,ds031,F,LightGBM,42,37,0.06,5.056767941,0.920518777,0.438209914,0.481927711,0.016880066,0.015693461
32,ds032,F,LightGBM,42,37,0.0125,5.111701727,0.882757597,0.376338384,0.337552743,0.017754106,0.015478513
33,ds033,F,LightGBM,42,37,0.0175,5.015682459,0.910954542,0.427346616,0.413793103,0.016946371,0.015550826
34,ds034,F,LightGBM,42,37,0.025,4.927577496,0.91802549,0.419796684,0.412371134,0.017243771,0.015938335
35,ds035,F,LightGBM,42,37,0.0275,5.146348238,0.896139566,0.428493535,0.406417112,0.016822021,0.014740151
36,ds036,F,LightGBM,42,37,0.0925,5.145058632,0.916031584,0.438421321,0.44,0.016913884,0.015429523
37,ds037,F,LightGBM,42,37,0.0775,4.957763195,0.899769127,0.411673382,0.424657534,0.017087044,0.01596072
38,ds038,F,LightGBM,42,37,0.225,5.133327246,0.922610389,0.436021758,0.403225806,0.016870477,0.015347627
39,ds039,F,LightGBM,42,37,0.0125,4.996211767,0.915474304,0.444428631,0.398305085,0.016633083,0.014747562
40,ds040,F,LightGBM,42,37,0.0175,5.134658098,0.902472299,0.417399038,0.388888889,0.016907026,0.01529499
41,ds041,F,LightGBM,42,37,0.0525,4.926900148,0.909109003,0.434130757,0.464285714,0.016569932,0.015057778
42,ds042,F,LightGBM,42,37,0.4675,4.84416008,0.910140333,0.442392387,0.410714286,0.016777109,0.014804125
43,ds043,F,LightGBM,42,37,0.04,5.017539024,0.921079677,0.429006973,0.43575419,0.01666198,0.014866508
44,ds044,F,LightGBM,42,37,0.0775,5.158041477,0.911157189,0.422696882,0.464516129,0.016691994,0.014821519
45,ds045,F,LightGBM,42,37,0.0775,5.237718344,0.885732172,0.374838056,0.357615894,0.017701778,0.015833115
46,ds046,F,LightGBM,42,37,0.16,5.185211897,0.913664951,0.417145447,0.434108527,0.016929915,0.015367657
47,ds047,F,LightGBM,42,37,0.01,4.893618584,0.928577632,0.431498581,0.383333333,0.016662436,0.014114549
48,ds048,F,LightGBM,42,37,0.035,5.031113625,0.923290705,0.443466323,0.43575419,0.016197776,0.014481287
49,ds049,F,LightGBM,42,37,0.0875,5.294884682,0.886271359,0.402743489,0.438356164,0.016910362,0.015597393
50,ds050,F,LightGBM,42,37,0.0225,4.940511942,0.907932924,0.414719987,0.381395349,0.016911233,0.014590667
51,ds051,F,LightGBM,42,37,0.04,4.600502253,0.907115097,0.435199074,0.453038674,0.016930718,0.015099743
52,ds052,F,LightGBM,42,37,0.0425,4.970740795,0.902588097,0.419318555,0.404907975,0.016920394,0.014709098
53,ds053,F,LightGBM,42,37,0.03,5.150022745,0.913900167,0.401032027,0.391752577,0.017027411,0.016183599
54,ds054,F,LightGBM,42,37,0.055,5.097544432,0.907433542,0.427828153,0.431818182,0.016593221,0.014591308
55,ds055,F,LightGBM,42,37,0.0925,5.144552469,0.90445173,0.422185922,0.429530201,0.016687912,0.015510019
56,ds056,F,LightGBM,42,37,0.03,4.96365428,0.893765696,0.403638386,0.37037037,0.016917526,0.015216174
57,ds057,F,LightGBM,42,37,0.03,4.958283186,0.918524871,0.425715893,0.421052632,0.016770678,0.015379926
58,ds058,F,LightGBM,42,37,0.045,5.101689339,0.8964363,0.410751616,0.434782609,0.016914571,0.014831325
59,ds059,F,LightGBM,42,37,0.0175,5.268556356,0.907270701,0.418321753,0.380530973,0.016930829,0.015918564
60,ds060,F,LightGBM,42,37,0.035,4.706243753,0.916838555,0.430838173,0.438502674,0.017215998,0.015149732
61,ds061,F,LightGBM,42,37,0.0525,5.25092864,0.912644477,0.43658101,0.458823529,0.016783596,0.014327867
62,ds062,F,LightGBM,42,37,0.0125,5.063147545,0.902765414,0.422207231,0.384279476,0.016961525,0.015009787
63,ds063,F,LightGBM,42,37,0.0225,5.033321142,0.914435735,0.435597352,0.401960784,0.01666732,0.014540851
64,ds064,F,LightGBM,42,37,0.04,5.161904573,0.899754652,0.403730081,0.411111111,0.016972538,0.014952743
65,ds065,F,LightGBM,42,37,0.015,5.061728001,0.904629047,0.404468503,0.378854626,0.01737853,0.014880375
66,ds066,F,LightGBM,42,37,0.035,4.998264074,0.888077093,0.417445741,0.366666667,0.016617492,0.014629357
67,ds067,F,LightGBM,42,37,0.095,4.994707584,0.916954354,0.441150552,0.476821192,0.016552144,0.014975009
68,ds068,F,LightGBM,42,37,0.0125,5.180578947,0.903851025,0.405313605,0.357723577,0.017046447,0.014722559
69,ds069,F,LightGBM,42,37,0.08,5.654981375,0.913708376,0.442852233,0.470588235,0.016715389,0.015683661
70,ds070,F,LightGBM,42,37,0.0325,3.879670382,0.906536104,0.420904601,0.451612903,0.01719925,0.015384412
71,ds071,F,LightGBM,42,37,0.07,5.043008327,0.917091864,0.41587962,0.434210526,0.017023165,0.015885529
72,ds072,F,LightGBM,42,37,0.015,4.742055178,0.893794646,0.418708376,0.371681416,0.017079978,0.015437532
73,ds073,F,LightGBM,42,37,0.1375,5.094201088,0.905088622,0.418392772,0.449612403,0.017065223,0.015186162
74,ds074,F,LightGBM,42,37,0.02,5.182500362,0.910741038,0.404234585,0.38277512,0.017237289,0.01495226
75,ds075,F,LightGBM,42,37,0.0875,4.980155706,0.901035673,0.381388833,0.402684564,0.017420205,0.015071002
76,ds076,F,LightGBM,42,37,0.06,5.042422295,0.918741994,0.421865114,0.443113772,0.017368909,0.015712794
77,ds077,F,LightGBM,42,37,0.05,4.971097469,0.920753993,0.414615566,0.418604651,0.017330766,0.015466493
78,ds078,F,LightGBM,42,37,0.015,5.240846395,0.898752271,0.415787516,0.398190045,0.017029738,0.015629619
79,ds079,F,LightGBM,42,37,0.0625,5.050703049,0.926978165,0.414719064,0.394904459,0.017008948,0.015122397
80,ds080,F,LightGBM,42,37,0.1125,5.270975828,0.915300606,0.415937446,0.431654676,0.017016226,0.015705081
81,ds081,F,LightGBM,42,37,0.0225,4.899428368,0.905714658,0.436259442,0.420512821,0.016936594,0.015795833
82,ds082,F,LightGBM,42,37,0.0175,5.284447193,0.911975016,0.425003491,0.418604651,0.016907583,0.014629229
83,ds083,F,LightGBM,42,37,0.04,5.035808563,0.915756563,0.434475341,0.424581006,0.016888216,0.014821122
84,ds084,F,LightGBM,42,37,0.005,5.285338402,0.907791794,0.406511674,0.323624595,0.017062916,0.015600794
85,ds085,F,LightGBM,42,37,0.0175,5.125041008,0.899570098,0.411184326,0.357798165,0.016950593,0.014887665
86,ds086,F,LightGBM,42,37,0.135,5.044481516,0.905323838,0.405612285,0.42962963,0.017418713,0.015815872
87,ds087,F,LightGBM,42,37,0.085,5.071769953,0.905667615,0.404966883,0.425531915,0.017158196,0.015941529
88,ds088,F,LightGBM,42,37,0.015,4.97377944,0.918763706,0.434689225,0.407079646,0.016836651,0.014802091
89,ds089,F,LightGBM,42,37,0.035,4.949190617,0.905240608,0.436415358,0.430939227,0.016846171,0.015197487
90,ds090,F,LightGBM,42,37,0.1175,4.949793339,0.920211188,0.44717495,0.444444444,0.016567085,0.014588789
91,ds091,F,LightGBM,42,37,0.095,4.821759939,0.904933018,0.401234358,0.4,0.017341171,0.015733776
92,ds092,F,LightGBM,42,37,0.0225,5.245785475,0.908899118,0.41777482,0.409756098,0.016893824,0.0155889
93,ds093,F,LightGBM,42,37,0.025,4.828050852,0.908131952,0.431767457,0.417910448,0.016865964,0.015357138
94,ds094,F,LightGBM,42,37,0.0175,5.258852959,0.898578573,0.409970218,0.4,0.016918018,0.016205362
95,ds095,F,LightGBM,42,37,0.0175,4.774018764,0.914783131,0.434026669,0.417061611,0.016687145,0.014068958
96,ds096,F,LightGBM,42,37,0.1125,5.119149923,0.90095968,0.416085803,0.47826087,0.016944474,0.015295569
97,ds097,F,LightGBM,42,37,0.0425,4.985682964,0.914026822,0.432059357,0.402234637,0.016659888,0.014336279
98,ds098,F,LightGBM,42,37,0.0375,5.142750263,0.918604483,0.430026949,0.449438202,0.016838372,0.015417581
99,ds099,F,LightGBM,42,37,0.045,5.126892328,0.898647328,0.420680103,0.426035503,0.017055949,0.01500347
