DAG_ID,DAG_TAG,SET,MODEL,MODEL_SEED,N_FEAT,THRESHOLD,TIME_SEC,AUROC,AUPRC,F1,Brier,ECE
0,ds000,OF,LightGBM,42,60,0.1225,3.954726934,0.929807992,0.471287404,0.474820144,0.016432751,0.015440159
1,ds001,OF,LightGBM,42,60,0.06,3.955135584,0.935127487,0.464896289,0.484848485,0.016218649,0.014571275
2,ds002,OF,LightGBM,42,60,0.035,3.952909708,0.93726976,0.473306243,0.459016393,0.016143357,0.014063643
3,ds003,OF,LightGBM,42,60,0.03,4.028040886,0.930712668,0.465833349,0.478723404,0.016517764,0.015270607
4,ds004,OF,LightGBM,42,60,0.01,3.910080433,0.927065014,0.471989792,0.390041494,0.016401628,0.014851828
5,ds005,OF,LightGBM,42,60,0.0175,3.915528059,0.930636675,0.461182233,0.420560748,0.016088768,0.013578838
6,ds006,OF,LightGBM,42,60,0.0275,4.100862026,0.927340035,0.459551143,0.460732984,0.016450919,0.015187722
7,ds007,OF,LightGBM,42,60,0.0375,3.90346384,0.932471358,0.465054036,0.483146067,0.016433041,0.014634556
8,ds008,OF,LightGBM,42,60,0.07,4.01448226,0.930415934,0.45902088,0.43902439,0.016503397,0.014824697
9,ds009,OF,LightGBM,42,60,0.1,4.009871006,0.932362797,0.450851516,0.44137931,0.016875807,0.015470804
10,ds010,OF,LightGBM,42,60,0.145,3.953908205,0.929768186,0.484417766,0.503597122,0.016375608,0.015024642
11,ds011,OF,LightGBM,42,60,0.04,3.966029406,0.937946458,0.477163628,0.462427746,0.01610457,0.014610368
12,ds012,OF,LightGBM,42,60,0.1375,3.946935654,0.934389271,0.491134747,0.461538462,0.016416933,0.015114812
13,ds013,OF,LightGBM,42,60,0.025,4.114506721,0.932485833,0.490764223,0.45,0.015884336,0.013894527
14,ds014,OF,LightGBM,42,60,0.025,3.983075142,0.931295279,0.462439329,0.446700508,0.016453103,0.015039454
15,ds015,OF,LightGBM,42,60,0.0875,4.014822483,0.931631819,0.466910142,0.503225806,0.016264151,0.014744803
16,ds016,OF,LightGBM,42,60,0.1025,4.030994654,0.932844085,0.46842966,0.517006803,0.016445552,0.015669
17,ds017,OF,LightGBM,42,60,0.1225,4.052015543,0.93478371,0.475138073,0.465753425,0.016214092,0.01428459
18,ds018,OF,LightGBM,42,60,0.1125,3.989338398,0.935492976,0.468548928,0.503311258,0.016317169,0.014071128
19,ds019,OF,LightGBM,42,60,0.17,4.046958447,0.93053897,0.473495481,0.503597122,0.015926968,0.014823962
20,ds020,OF,LightGBM,42,60,0.03,3.987415314,0.932250617,0.471435531,0.449197861,0.016232189,0.013843545
21,ds021,OF,LightGBM,42,60,0.035,3.995321512,0.936944077,0.489108208,0.464088398,0.015876185,0.014238108
22,ds022,OF,LightGBM,42,60,0.11,3.923083544,0.935702861,0.458616844,0.466666667,0.016487166,0.014097663
23,ds023,OF,LightGBM,42,60,0.05,3.928065538,0.933014164,0.47274333,0.475138122,0.01628209,0.01484504
24,ds024,OF,LightGBM,42,60,0.05,3.934642553,0.933701717,0.469182988,0.465116279,0.016285726,0.014801738
25,ds025,OF,LightGBM,42,60,0.0575,3.978373528,0.928132531,0.461657279,0.479041916,0.016449123,0.015238175
26,ds026,OF,LightGBM,42,60,0.085,4.047084332,0.936343372,0.480010245,0.464516129,0.016150972,0.014266102
27,ds027,OF,LightGBM,42,60,0.0325,3.949276209,0.9366003,0.477879595,0.47826087,0.016243893,0.014513048
28,ds028,OF,LightGBM,42,60,0.1,3.934642553,0.931421934,0.45819769,0.483221477,0.016293837,0.015022072
29,ds029,OF,LightGBM,42,60,0.0275,3.976536751,0.936043019,0.466781942,0.465608466,0.016357017,0.014266522
30,ds030,OF,LightGBM,42,60,0.1475,3.915952921,0.933368797,0.4659085,0.441176471,0.016467217,0.014893045
31,ds031,OF,LightGBM,42,60,0.155,4.02787137,0.939712385,0.477360498,0.503597122,0.016142937,0.014026533
32,ds032,OF,LightGBM,42,60,0.01,4.008419514,0.933061207,0.467403512,0.440677966,0.016143629,0.014483773
33,ds033,OF,LightGBM,42,60,0.03,3.987291574,0.938543544,0.472536013,0.469945355,0.016427374,0.014652851
34,ds034,OF,LightGBM,42,60,0.0525,4.008682728,0.933184243,0.48073738,0.473372781,0.01600927,0.014101016
35,ds035,OF,LightGBM,42,60,0.125,3.911619186,0.929688574,0.470869901,0.468085106,0.01632864,0.014028586
36,ds036,OF,LightGBM,42,60,0.0375,3.960766315,0.937508594,0.468627772,0.43956044,0.016330648,0.015187473
37,ds037,OF,LightGBM,42,60,0.0425,3.998754978,0.932413459,0.474681856,0.469273743,0.016348684,0.015348104
38,ds038,OF,LightGBM,42,60,0.015,4.025694847,0.939480788,0.477129421,0.423423423,0.015917435,0.013873688
39,ds039,OF,LightGBM,42,60,0.0625,4.01224041,0.941652011,0.469792131,0.4875,0.016267699,0.014204955
40,ds040,OF,LightGBM,42,60,0.105,3.942272186,0.938004357,0.473243914,0.503401361,0.016599427,0.014880243
41,ds041,OF,LightGBM,42,60,0.0325,4.117610455,0.932833228,0.471085372,0.465608466,0.016217097,0.014571731
42,ds042,OF,LightGBM,42,60,0.05,3.934192657,0.934012926,0.463158772,0.491017964,0.016468976,0.014737855
43,ds043,OF,LightGBM,42,60,0.0625,4.037913322,0.930017876,0.47557025,0.466257669,0.016153434,0.014088572
44,ds044,OF,LightGBM,42,60,0.0375,3.993800163,0.939202148,0.478574457,0.474576271,0.015998136,0.014973333
45,ds045,OF,LightGBM,42,60,0.1025,3.982438087,0.937732954,0.477167748,0.517006803,0.016028254,0.015301694
46,ds046,OF,LightGBM,42,60,0.0525,4.078888416,0.93718653,0.469386984,0.469135802,0.016202829,0.014396669
47,ds047,OF,LightGBM,42,60,0.0425,3.996519566,0.928374985,0.458479754,0.491428571,0.016697706,0.015306375
48,ds048,OF,LightGBM,42,60,0.2075,4.005585432,0.935333753,0.474779853,0.484848485,0.016207364,0.013928607
49,ds049,OF,LightGBM,42,60,0.0425,4.072801828,0.936379559,0.463579023,0.468571429,0.016516992,0.013807435
50,ds050,OF,LightGBM,42,60,0.0325,4.101350784,0.934798185,0.462020835,0.446808511,0.01626134,0.014393747
51,ds051,OF,LightGBM,42,60,0.1,3.990074873,0.937059875,0.487077505,0.513513514,0.01606317,0.014224988
52,ds052,OF,LightGBM,42,60,0.015,3.995917559,0.931816372,0.476975432,0.442396313,0.016164161,0.015250868
53,ds053,OF,LightGBM,42,60,0.125,4.040193319,0.938337278,0.474659662,0.503496503,0.016248637,0.014354663
54,ds054,OF,LightGBM,42,60,0.1275,4.033013344,0.9366003,0.472294591,0.47826087,0.016071596,0.014133814
55,ds055,OF,LightGBM,42,60,0.085,3.95386529,0.933535257,0.454031662,0.493333333,0.01652513,0.014838253
56,ds056,OF,LightGBM,42,60,0.0875,4.084915161,0.927318323,0.465515429,0.486486486,0.016485625,0.014293785
