Variable,N,Mean,Std,Min,Median,Max
leverage_ratio,17881,0.0,1.0,-2.3476,-0.1575,20.1202
asset_liabilities,17881,-0.0,1.0,-1.0682,-0.1517,25.6482
roe,17881,0.0,1.0,-15.0623,0.1001,21.027
asset_turnover,17881,0.0,1.0,-1.5795,-0.0938,23.6218
debt_ratio,17881,0.0,1.0,-13.5396,0.1578,1.6873
debt_ratio2,17881,-0.0,1.0,-1.2451,-0.214,7.4053
roa,17881,0.0,1.0,-7.9862,-0.0778,12.4665
capitalization_ratio,17881,0.0,1.0,-1.7024,-0.0903,2.6071
longtermdebt_invcap,17881,0.0,1.0,-1.506,-0.1183,10.3202
totaldebt_invcap,17881,0.0,1.0,-1.2819,-0.25,6.8131
cash_debt,17881,-0.0,1.0,-10.1973,0.0712,6.9106
debt_ebitda,17881,-0.0,1.0,-14.3661,-0.1146,26.4781
rect_turn,17881,-0.0,1.0,-0.2475,-0.0993,37.8508
edge_GES__asset_liabilities__leverage_ratio,17881,-0.4135,1.5662,-47.2205,-0.1095,2.0961
edge_GES__asset_liabilities__roe,17881,0.0024,0.076,-1.6615,0.0028,2.9294
edge_GES__asset_liabilities__debt_ratio,17881,0.8433,8.584,-1.5861,0.1356,319.4331
edge_GES__asset_liabilities__rect_turn,17881,0.4037,9.2569,-7.9303,0.0002,582.1066
edge_GES__asset_turnover__leverage_ratio,17881,0.0268,0.2461,-8.1096,0.0156,4.4367
edge_GES__asset_turnover__roe,17881,-0.02,0.1692,-3.9978,-0.0043,7.0901
edge_GES__asset_turnover__capitalization_ratio,17881,0.0007,0.1308,-4.568,0.002,3.1647
edge_GES__asset_turnover__totaldebt_invcap,17881,0.0577,0.3155,-5.1045,0.0181,13.2171
edge_GES__asset_turnover__rect_turn,17881,0.1251,1.7424,-3.3748,0.0102,73.931
edge_GES__debt_ratio__leverage_ratio,17881,1.0284,2.4684,-3.8934,0.3248,44.8401
edge_GES__debt_ratio__roe,17881,0.0012,0.0747,-1.4712,0.0028,2.4822
edge_GES__debt_ratio__roa,17881,0.0625,0.9661,-13.5959,0.0015,38.4159
edge_GES__debt_ratio__capitalization_ratio,17881,0.0277,0.1414,-3.0515,0.0068,2.4885
edge_GES__debt_ratio__rect_turn,17881,-0.1482,3.1798,-167.9185,0.0011,4.5838
edge_GES__debt_ratio2__leverage_ratio,17881,0.0172,0.1431,-0.9336,0.0063,3.7924
edge_GES__debt_ratio2__asset_liabilities,17881,-0.0001,0.0148,-0.1497,-0.0001,0.7865
