Variable,N,Mean,Std,Min,Q1,Median,Q3,Max
leverage_ratio,17881,0.0,1.0,-2.3476,-0.6373,-0.1575,0.4746,20.1202
asset_liabilities,17881,-0.0,1.0,-1.0682,-0.4035,-0.1517,0.1594,25.6482
roe,17881,0.0,1.0,-15.0623,-0.1563,0.1001,0.3505,21.027
asset_turnover,17881,0.0,1.0,-1.5795,-0.5984,-0.0938,0.3267,23.6218
debt_ratio,17881,0.0,1.0,-13.5396,-0.3216,0.1578,0.5687,1.6873
debt_ratio2,17881,-0.0,1.0,-1.2451,-0.6885,-0.214,0.4156,7.4053
roa,17881,0.0,1.0,-7.9862,-0.4187,-0.0778,0.3313,12.4665
capitalization_ratio,17881,0.0,1.0,-1.7024,-0.8305,-0.0903,0.7771,2.6071
longtermdebt_invcap,17881,0.0,1.0,-1.506,-0.754,-0.1183,0.6491,10.3202
totaldebt_invcap,17881,0.0,1.0,-1.2819,-0.6214,-0.25,0.2682,6.8131
cash_debt,17881,-0.0,1.0,-10.1973,-0.2099,0.0712,0.2586,6.9106
debt_ebitda,17881,-0.0,1.0,-14.3661,-0.2915,-0.1146,0.1448,26.4781
rect_turn,17881,-0.0,1.0,-0.2475,-0.1573,-0.0993,-0.0176,37.8508
edge_GES__asset_liabilities__leverage_ratio,17881,-0.4135,1.5662,-47.2205,-0.3895,-0.1095,-0.0057,2.0961
edge_GES__asset_liabilities__roe,17881,0.0024,0.076,-1.6615,-0.0011,0.0028,0.0134,2.9294
edge_GES__asset_liabilities__debt_ratio,17881,0.8433,8.584,-1.5861,0.0276,0.1356,0.3771,319.4331
edge_GES__asset_liabilities__rect_turn,17881,0.4037,9.2569,-7.9303,-0.027,0.0002,0.0182,582.1066
edge_GES__asset_turnover__leverage_ratio,17881,0.0268,0.2461,-8.1096,-0.0067,0.0156,0.0786,4.4367
edge_GES__asset_turnover__roe,17881,-0.02,0.1692,-3.9978,-0.0261,-0.0043,0.0042,7.0901
edge_GES__asset_turnover__capitalization_ratio,17881,0.0007,0.1308,-4.568,-0.0347,0.002,0.0417,3.1647
edge_GES__asset_turnover__totaldebt_invcap,17881,0.0577,0.3155,-5.1045,-0.0132,0.0181,0.1021,13.2171
edge_GES__asset_turnover__rect_turn,17881,0.1251,1.7424,-3.3748,-0.0003,0.0102,0.0331,73.931
edge_GES__debt_ratio__leverage_ratio,17881,1.0284,2.4684,-3.8934,0.0411,0.3248,1.0918,44.8401
edge_GES__debt_ratio__roe,17881,0.0012,0.0747,-1.4712,-0.0015,0.0028,0.014,2.4822
edge_GES__debt_ratio__roa,17881,0.0625,0.9661,-13.5959,-0.0275,0.0015,0.0422,38.4159
edge_GES__debt_ratio__capitalization_ratio,17881,0.0277,0.1414,-3.0515,-0.0273,0.0068,0.0649,2.4885
edge_GES__debt_ratio__rect_turn,17881,-0.1482,3.1798,-167.9185,-0.0111,0.0011,0.0222,4.5838
edge_GES__debt_ratio2__leverage_ratio,17881,0.0172,0.1431,-0.9336,-0.0122,0.0063,0.0389,3.7924
edge_GES__debt_ratio2__asset_liabilities,17881,-0.0001,0.0148,-0.1497,-0.002,-0.0001,0.0011,0.7865
edge_GES__debt_ratio2__debt_ratio,17881,0.0032,0.0797,-1.7003,-0.0079,0.0013,0.0167,0.6302
edge_GES__debt_ratio2__roa,17881,0.0263,0.5118,-7.9503,-0.0409,-0.0014,0.026,14.6415
edge_GES__debt_ratio2__capitalization_ratio,17881,0.463,0.9998,-6.1355,-0.0016,0.2034,0.6417,13.1511
edge_GES__debt_ratio2__longtermdebt_invcap,17881,0.3529,0.8126,-4.7128,0.0005,0.161,0.4898,24.8976
edge_GES__debt_ratio2__totaldebt_invcap,17881,0.2692,0.7201,-0.8676,0.0008,0.1014,0.3364,18.9944
edge_GES__roa__leverage_ratio,17881,0.0315,0.2453,-3.7822,-0.0185,0.0016,0.0343,5.0443
edge_GES__roa__roe,17881,0.2888,1.6005,-12.2975,-0.0022,0.0259,0.1263,46.7965
edge_GES__roa__asset_turnover,17881,0.2511,2.2735,-25.5474,-0.0124,0.0277,0.1428,103.8066
edge_GES__roa__totaldebt_invcap,17881,0.0148,0.3089,-18.56,-0.0349,-0.0003,0.0474,10.3183
edge_GES__roa__rect_turn,17881,0.0465,0.7998,-9.7379,-0.0021,0.0009,0.0066,34.9317
edge_GES__cash_debt__asset_liabilities,17881,0.0196,0.4862,-4.5134,-0.0069,0.0004,0.0126,20.472
edge_GES__cash_debt__debt_ratio,17881,-0.0028,0.0633,-2.2242,-0.0034,-0.0002,0.0017,1.073
edge_GES__cash_debt__debt_ratio2,17881,0.0149,0.2114,-4.7838,-0.008,0.0021,0.0186,7.6309
edge_GES__cash_debt__longtermdebt_invcap,17881,-0.0013,0.0294,-0.4649,-0.0045,-0.0003,0.0027,0.9434
edge_GES__cash_debt__totaldebt_invcap,17881,0.0103,0.0978,-2.3509,-0.004,0.0016,0.011,4.0827
edge_GES__cash_debt__rect_turn,17881,0.0016,0.0721,-2.8856,-0.0005,-0.0001,0.0003,3.3358
edge_GES__debt_ebitda__roe,17881,0.0016,0.1112,-5.4361,-0.0047,-0.0007,0.0015,4.3119
edge_GES__debt_ebitda__debt_ratio2,17881,0.1045,0.5679,-15.6642,0.0053,0.0399,0.1036,20.2624
edge_GES__debt_ebitda__roa,17881,0.0094,0.187,-3.0506,-0.002,0.0032,0.0187,5.1752
