Variable,N,Mean,Std,Min,Q1,Median,Q3,Max
leverage_ratio,17881,0.0,1.0,-2.3476,-0.6373,-0.1575,0.4746,20.1202
asset_liabilities,17881,-0.0,1.0,-1.0682,-0.4035,-0.1517,0.1594,25.6482
roe,17881,0.0,1.0,-15.0623,-0.1563,0.1001,0.3505,21.027
asset_turnover,17881,0.0,1.0,-1.5795,-0.5984,-0.0938,0.3267,23.6218
debt_ratio,17881,0.0,1.0,-13.5396,-0.3216,0.1578,0.5687,1.6873
debt_ratio2,17881,-0.0,1.0,-1.2451,-0.6885,-0.214,0.4156,7.4053
roa,17881,0.0,1.0,-7.9862,-0.4187,-0.0778,0.3313,12.4665
capitalization_ratio,17881,0.0,1.0,-1.7024,-0.8305,-0.0903,0.7771,2.6071
longtermdebt_invcap,17881,0.0,1.0,-1.506,-0.754,-0.1183,0.6491,10.3202
totaldebt_invcap,17881,0.0,1.0,-1.2819,-0.6214,-0.25,0.2682,6.8131
cash_debt,17881,-0.0,1.0,-10.1973,-0.2099,0.0712,0.2586,6.9106
debt_ebitda,17881,-0.0,1.0,-14.3661,-0.2915,-0.1146,0.1448,26.4781
rect_turn,17881,-0.0,1.0,-0.2475,-0.1573,-0.0993,-0.0176,37.8508
edge_GOLEM__leverage_ratio__asset_liabilities,17881,-0.1182,0.4475,-13.4921,-0.1113,-0.0313,-0.0016,0.5989
edge_GOLEM__leverage_ratio__asset_turnover,17881,0.0313,0.2869,-9.4545,-0.0078,0.0182,0.0916,5.1725
edge_GOLEM__leverage_ratio__totaldebt_invcap,17881,0.1975,0.5699,-2.6889,-0.002,0.0611,0.2172,9.8757
edge_GOLEM__roe__totaldebt_invcap,17881,0.006,0.1261,-9.1106,-0.0081,0.0015,0.0178,1.4978
edge_GOLEM__debt_ratio__leverage_ratio,17881,0.5752,1.3805,-2.1775,0.023,0.1817,0.6106,25.0778
edge_GOLEM__debt_ratio__asset_liabilities,17881,0.9614,9.7864,-1.8083,0.0315,0.1546,0.4299,364.1775
edge_GOLEM__debt_ratio__rect_turn,17881,0.1073,2.3036,-3.3207,-0.0161,-0.0008,0.0081,121.6482
edge_GOLEM__debt_ratio2__roa,17881,0.0156,0.3027,-4.7024,-0.0242,-0.0008,0.0154,8.6601
edge_GOLEM__debt_ratio2__capitalization_ratio,17881,0.4621,0.9979,-6.124,-0.0016,0.203,0.6405,13.1265
edge_GOLEM__debt_ratio2__totaldebt_invcap,17881,0.4191,1.1209,-1.3506,0.0012,0.1579,0.5237,29.5688
edge_GOLEM__debt_ratio2__debt_ebitda,17881,0.0989,0.5374,-14.8229,0.0051,0.0378,0.098,19.1741
edge_GOLEM__debt_ratio2__rect_turn,17881,0.0306,0.4754,-4.5204,-0.0044,0.0022,0.0121,22.1394
edge_GOLEM__roa__roe,17881,0.2635,1.4604,-11.2209,-0.002,0.0236,0.1153,42.6994
edge_GOLEM__roa__asset_turnover,17881,0.2334,2.1136,-23.7502,-0.0115,0.0258,0.1328,96.504
edge_GOLEM__roa__debt_ratio,17881,0.0521,0.8058,-11.3393,-0.0229,0.0012,0.0352,32.0397
edge_GOLEM__roa__capitalization_ratio,17881,0.0121,0.1706,-3.2537,-0.0204,0.0038,0.045,2.3739
edge_GOLEM__roa__totaldebt_invcap,17881,0.0103,0.2158,-12.9667,-0.0244,-0.0002,0.0331,7.2088
edge_GOLEM__roa__rect_turn,17881,0.0937,1.6121,-19.6293,-0.0042,0.0017,0.0133,70.4137
edge_GOLEM__capitalization_ratio__debt_ratio,17881,0.021,0.1072,-2.3118,-0.0207,0.0051,0.0492,1.8853
edge_GOLEM__capitalization_ratio__longtermdebt_invcap,17881,0.8386,1.0464,-1.2721,0.1426,0.5359,1.2493,18.7859
edge_GOLEM__capitalization_ratio__totaldebt_invcap,17881,-0.132,0.7541,-7.6351,-0.4225,-0.034,0.1678,8.3909
edge_GOLEM__longtermdebt_invcap__totaldebt_invcap,17881,0.089,0.5816,-3.1418,-0.0611,0.017,0.1768,18.6151
edge_GOLEM__rect_turn__leverage_ratio,17881,-0.0136,0.4601,-20.1449,-0.0029,0.0056,0.0217,7.2988
edge_GOLEM__rect_turn__asset_liabilities,17881,0.0614,1.4085,-1.2066,-0.0041,0.0,0.0028,88.5688
edge_GOLEM__rect_turn__roe,17881,-0.0024,0.1669,-8.0263,-0.0036,-0.0,0.0025,12.7343
edge_GOLEM__rect_turn__asset_turnover,17881,0.1093,1.5232,-2.9503,-0.0003,0.0089,0.029,64.6299
