Variable,N,Mean,Std,Min,Q1,Median,Q3,Max
leverage_ratio,17881,0.0,1.0,-2.3476,-0.6373,-0.1575,0.4746,20.1202
asset_liabilities,17881,-0.0,1.0,-1.0682,-0.4035,-0.1517,0.1594,25.6482
roe,17881,0.0,1.0,-15.0623,-0.1563,0.1001,0.3505,21.027
asset_turnover,17881,0.0,1.0,-1.5795,-0.5984,-0.0938,0.3267,23.6218
debt_ratio,17881,0.0,1.0,-13.5396,-0.3216,0.1578,0.5687,1.6873
debt_ratio2,17881,-0.0,1.0,-1.2451,-0.6885,-0.214,0.4156,7.4053
roa,17881,0.0,1.0,-7.9862,-0.4187,-0.0778,0.3313,12.4665
capitalization_ratio,17881,0.0,1.0,-1.7024,-0.8305,-0.0903,0.7771,2.6071
longtermdebt_invcap,17881,0.0,1.0,-1.506,-0.754,-0.1183,0.6491,10.3202
totaldebt_invcap,17881,0.0,1.0,-1.2819,-0.6214,-0.25,0.2682,6.8131
cash_debt,17881,-0.0,1.0,-10.1973,-0.2099,0.0712,0.2586,6.9106
debt_ebitda,17881,-0.0,1.0,-14.3661,-0.2915,-0.1146,0.1448,26.4781
rect_turn,17881,-0.0,1.0,-0.2475,-0.1573,-0.0993,-0.0176,37.8508
edge_NOTEARS__asset_liabilities__rect_turn,17881,0.2971,6.8118,-5.8356,-0.0199,0.0001,0.0134,428.3522
edge_NOTEARS__debt_ratio__leverage_ratio,17881,0.4063,0.9753,-1.5383,0.0162,0.1283,0.4314,17.7168
edge_NOTEARS__debt_ratio__asset_liabilities,17881,1.0249,10.4324,-1.9277,0.0336,0.1648,0.4583,388.2157
edge_NOTEARS__debt_ratio2__debt_ratio,17881,-0.0363,0.905,-7.1535,-0.1901,-0.0144,0.0892,19.2987
edge_NOTEARS__debt_ratio2__roa,17881,0.0733,1.4254,-22.1412,-0.1139,-0.004,0.0723,40.7758
edge_NOTEARS__debt_ratio2__capitalization_ratio,17881,0.442,0.9546,-5.8581,-0.0016,0.1942,0.6127,12.5565
edge_NOTEARS__debt_ratio2__totaldebt_invcap,17881,0.402,1.0753,-1.2955,0.0012,0.1515,0.5024,28.3643
edge_NOTEARS__roa__roe,17881,0.2916,1.6163,-12.4184,-0.0023,0.0262,0.1276,47.2563
edge_NOTEARS__roa__asset_turnover,17881,0.2559,2.3171,-26.0369,-0.0126,0.0282,0.1456,105.7956
edge_NOTEARS__capitalization_ratio__debt_ratio,17881,0.1371,0.6993,-15.0883,-0.1349,0.0335,0.321,12.3042
edge_NOTEARS__capitalization_ratio__roa,17881,0.0404,0.5702,-10.8754,-0.0681,0.0128,0.1503,7.9349
edge_NOTEARS__capitalization_ratio__longtermdebt_invcap,17881,0.8208,1.0242,-1.2451,0.1396,0.5245,1.2228,18.387
edge_NOTEARS__capitalization_ratio__totaldebt_invcap,17881,-0.1327,0.7579,-7.6738,-0.4246,-0.0342,0.1687,8.4335
edge_NOTEARS__longtermdebt_invcap__totaldebt_invcap,17881,0.1229,0.8035,-4.3402,-0.0845,0.0234,0.2443,25.7157
edge_NOTEARS__totaldebt_invcap__leverage_ratio,17881,0.1953,0.5635,-2.6587,-0.002,0.0604,0.2148,9.7647
edge_NOTEARS__totaldebt_invcap__debt_ratio,17881,0.2468,0.6647,-8.4397,-0.0259,0.0524,0.3013,9.0802
edge_NOTEARS__debt_ebitda__debt_ratio2,17881,0.1047,0.5686,-15.6847,0.0053,0.04,0.1037,20.2889
