Variable,N,Mean,Std,Min,Median,Max
leverage_ratio,17881,0.0,1.0,-2.3476,-0.1575,20.1202
asset_liabilities,17881,-0.0,1.0,-1.0682,-0.1517,25.6482
roe,17881,0.0,1.0,-15.0623,0.1001,21.027
asset_turnover,17881,0.0,1.0,-1.5795,-0.0938,23.6218
debt_ratio,17881,0.0,1.0,-13.5396,0.1578,1.6873
debt_ratio2,17881,-0.0,1.0,-1.2451,-0.214,7.4053
roa,17881,0.0,1.0,-7.9862,-0.0778,12.4665
capitalization_ratio,17881,0.0,1.0,-1.7024,-0.0903,2.6071
longtermdebt_invcap,17881,0.0,1.0,-1.506,-0.1183,10.3202
totaldebt_invcap,17881,0.0,1.0,-1.2819,-0.25,6.8131
cash_debt,17881,-0.0,1.0,-10.1973,0.0712,6.9106
debt_ebitda,17881,-0.0,1.0,-14.3661,-0.1146,26.4781
rect_turn,17881,-0.0,1.0,-0.2475,-0.0993,37.8508
edge_PC__leverage_ratio__asset_turnover,17881,0.0251,0.23,-7.5798,0.0146,4.1468
edge_PC__leverage_ratio__capitalization_ratio,17881,0.0044,0.0221,-0.1303,0.0011,0.7101
edge_PC__asset_liabilities__debt_ratio,17881,0.8405,8.5553,-1.5808,0.1351,318.3643
edge_PC__asset_liabilities__cash_debt,17881,0.017,0.4214,-3.9124,0.0003,17.7462
edge_PC__asset_liabilities__rect_turn,17881,0.3951,9.0588,-7.7606,0.0002,569.6508
edge_PC__asset_turnover__roe,17881,-0.0188,0.1592,-3.7605,-0.004,6.6693
edge_PC__asset_turnover__roa,17881,0.2468,2.2348,-25.1124,0.0272,102.039
edge_PC__asset_turnover__rect_turn,17881,0.1186,1.6528,-3.2013,0.0096,70.1287
edge_PC__debt_ratio__leverage_ratio,17881,0.4517,1.0842,-1.7101,0.1427,19.6946
edge_PC__debt_ratio__rect_turn,17881,-0.1378,2.9565,-156.1288,0.001,4.262
edge_PC__debt_ratio2__roa,17881,0.0064,0.1237,-1.9207,-0.0003,3.5372
edge_PC__debt_ratio2__capitalization_ratio,17881,0.1419,0.3064,-1.8803,0.0623,4.0304
edge_PC__debt_ratio2__longtermdebt_invcap,17881,0.3509,0.808,-4.6863,0.1601,24.7579
edge_PC__debt_ratio2__totaldebt_invcap,17881,0.3008,0.8044,-0.9692,0.1133,21.2195
edge_PC__debt_ratio2__cash_debt,17881,0.0128,0.1822,-4.1225,0.0018,6.576
edge_PC__debt_ratio2__debt_ebitda,17881,0.1122,0.6094,-16.8086,0.0428,21.7427
edge_PC__debt_ratio2__rect_turn,17881,0.0218,0.3391,-3.2238,0.0015,15.7892
edge_PC__roa__roe,17881,0.2643,1.4651,-11.2572,0.0237,42.8377
edge_PC__roa__debt_ebitda,17881,0.0093,0.185,-3.0181,0.0032,5.1202
edge_PC__roa__rect_turn,17881,0.0428,0.7361,-8.9628,0.0008,32.1512
edge_PC__longtermdebt_invcap__capitalization_ratio,17881,0.7006,0.8742,-1.0627,0.4477,15.6935
edge_PC__longtermdebt_invcap__totaldebt_invcap,17881,-0.024,0.1571,-5.029,-0.0046,0.8488
edge_PC__totaldebt_invcap__leverage_ratio,17881,0.1498,0.4321,-2.0389,0.0463,7.4886
edge_PC__totaldebt_invcap__cash_debt,17881,0.0092,0.0874,-2.0999,0.0014,3.6467
