Variable,N,Mean,Std,Min,Q1,Median,Q3,Max
leverage_ratio,17881,10.9964,4.4918,0.452,8.134,10.289,13.128,101.369
asset_liabilities,17881,1.11,0.0846,1.0197,1.0759,1.0972,1.1235,3.2787
roe,17881,0.0876,0.1638,-2.379,0.062,0.104,0.145,3.531
asset_turnover,17881,0.0753,0.0357,0.019,0.054,0.072,0.087,0.918
debt_ratio,17881,0.9041,0.0438,0.311,0.89,0.911,0.929,0.978
debt_ratio2,17881,0.1375,0.1096,0.001,0.062,0.114,0.183,0.949
roa,17881,0.0231,0.0147,-0.094,0.017,0.022,0.028,0.206
capitalization_ratio,17881,0.3769,0.2202,0.002,0.194,0.357,0.548,0.951
longtermdebt_invcap,17881,0.3905,0.258,0.002,0.196,0.36,0.558,3.053
totaldebt_invcap,17881,0.8639,0.6677,0.008,0.449,0.697,1.043,5.413
cash_debt,17881,0.0092,0.0534,-0.535,-0.002,0.013,0.023,0.378
debt_ebitda,17881,6.8221,14.9524,-207.98,2.463,5.109,8.987,402.721
rect_turn,17881,0.1542,0.4653,0.039,0.081,0.108,0.146,17.766
