Variable,N,Mean,Std,Min,Q1,Median,Q3,Max
leverage_ratio,17881,0.0,1.0,-2.3476,-0.6373,-0.1575,0.4746,20.1202
asset_liabilities,17881,-0.0,1.0,-1.0682,-0.4035,-0.1517,0.1594,25.6482
roe,17881,0.0,1.0,-15.0623,-0.1563,0.1001,0.3505,21.027
asset_turnover,17881,0.0,1.0,-1.5795,-0.5984,-0.0938,0.3267,23.6218
debt_ratio,17881,0.0,1.0,-13.5396,-0.3216,0.1578,0.5687,1.6873
debt_ratio2,17881,-0.0,1.0,-1.2451,-0.6885,-0.214,0.4156,7.4053
roa,17881,0.0,1.0,-7.9862,-0.4187,-0.0778,0.3313,12.4665
capitalization_ratio,17881,0.0,1.0,-1.7024,-0.8305,-0.0903,0.7771,2.6071
longtermdebt_invcap,17881,0.0,1.0,-1.506,-0.754,-0.1183,0.6491,10.3202
totaldebt_invcap,17881,0.0,1.0,-1.2819,-0.6214,-0.25,0.2682,6.8131
cash_debt,17881,-0.0,1.0,-10.1973,-0.2099,0.0712,0.2586,6.9106
debt_ebitda,17881,-0.0,1.0,-14.3661,-0.2915,-0.1146,0.1448,26.4781
rect_turn,17881,-0.0,1.0,-0.2475,-0.1573,-0.0993,-0.0176,37.8508
