leverage_ratio,asset_liabilities,roe,asset_turnover,debt_ratio,debt_ratio2,roa,capitalization_ratio,longtermdebt_invcap,totaldebt_invcap,cash_debt,debt_ebitda,rect_turn,label
14.933,1.067048063,0.107,0.081,0.937,0.043,0.018,0.244,0.244,0.513,-0.02,2.418,0.154,0
14.734,1.067940781,0.117,0.085,0.936,0.041,0.02,0.23,0.23,0.498,-0.006,2.093,0.159,0
15.294,1.06544875,0.137,0.085,0.939,0.049,0.021,0.317,0.317,0.542,0.036,2.525,0.152,0
13.652,1.072059659,0.167,0.097,0.932,0.07,0.025,0.272,0.298,0.819,-0.02,2.957,0.163,0
13.39,1.071841429,0.151,0.106,0.93,0.071,0.023,0.244,0.264,0.834,0.063,3.17,0.186,0
12.78,1.075667096,0.196,0.125,0.927,0.079,0.03,0.263,0.335,1.027,0.021,2.833,0.217,0
12.439,1.078894593,0.166,0.129,0.926,0.082,0.023,0.278,0.356,1.02,0.013,3.675,0.209,0
12.845,1.077451808,0.157,0.114,0.928,0.074,0.022,0.34,0.464,0.922,0.002,3.426,0.185,0
12.951,1.078457264,0.154,0.12,0.928,0.072,0.022,0.345,0.474,0.907,0.025,3.368,0.187,0
13.266,1.072537007,0.087,0.115,0.93,0.065,0.014,0.303,0.303,0.65,0.022,4.649,0.181,0
13.634,1.072657944,0.041,0.106,0.932,0.061,0.014,0.297,0.297,0.625,0.031,4.426,0.176,0
13.06,1.071594854,0.041,0.097,0.929,0.06,0.016,0.28,0.28,0.603,0.021,3.744,0.168,0
12.956,1.077459486,-0.012,0.101,0.928,0.066,0.014,0.275,0.275,0.667,-0.051,4.664,0.176,0
13.174,1.072884949,0.028,0.104,0.929,0.071,0.018,0.272,0.272,0.731,-0.005,3.838,0.186,0
12.939,1.076464574,0.064,0.11,0.928,0.062,0.023,0.27,0.27,0.626,0.015,2.662,0.199,0
12.672,1.075698521,0.077,0.099,0.927,0.061,0.023,0.224,0.224,0.643,0.035,2.64,0.183,0
12.318,1.077642663,0.128,0.094,0.925,0.056,0.03,0.153,0.153,0.627,-0.002,1.875,0.175,0
12.069,1.082854889,0.117,0.094,0.923,0.066,0.03,0.356,0.356,0.557,0.016,2.366,0.2,0
