SEED_RUN,Feature Set,DAG Method,Best Model,K_EDGE,N_FEAT,FEATURE_KEY,AUROC,AUPRC,F1,Brier,ECE,SOURCE_FILE
1,F,GES,LightGBM,34,34,b154670abb75bb96,0.9282591860810157,0.4726856402210885,0.4520547945205479,0.0167274341863156,0.016312961433284,results_F_1.csv
2,F,GES,LightGBM,34,34,b154670abb75bb96,0.9244450716865332,0.471468093878145,0.4585987261146497,0.0166840920997105,0.0165915342239337,results_F_2.csv
3,F,GES,LightGBM,34,34,b154670abb75bb96,0.92867895578667,0.4653401013354112,0.4615384615384615,0.0172587075736763,0.0171995137720429,results_F_3.csv
4,F,GES,LightGBM,34,34,b154670abb75bb96,0.9282917544202474,0.4651847951019739,0.445859872611465,0.0168961220181604,0.0168604971695014,results_F_4.csv
5,F,GES,LightGBM,34,34,b154670abb75bb96,0.928910552865652,0.465232340225863,0.445859872611465,0.0169273298775699,0.0172251285194144,results_F_5.csv
1,O,–,XGBoost,0,13,d142655db65fda0d,0.9375230692402892,0.450339126175833,0.4148936170212766,0.0162821875704335,0.0108621952748553,results_O_1.csv
2,O,–,XGBoost,0,13,d142655db65fda0d,0.9380875871203076,0.4551789168050474,0.4395604395604395,0.0160133801972658,0.0103348095276176,results_O_2.csv
3,O,–,XGBoost,0,13,d142655db65fda0d,0.9366473427853892,0.4597041492690458,0.457516339869281,0.0161556702902295,0.0116271703007511,results_O_3.csv
4,O,–,XGBoost,0,13,d142655db65fda0d,0.930889984150075,0.4566256054076146,0.4311377245508982,0.0159593874870044,0.0109906901689004,results_O_4.csv
5,O,–,XGBoost,0,13,d142655db65fda0d,0.9364591701587164,0.4513163237566052,0.4705882352941176,0.0160251204971201,0.0112571121720185,results_O_5.csv
1,OF,GES,LightGBM,34,47,084da68000a6f7f1,0.9342517604996706,0.4890866630831582,0.4625,0.0167595664980781,0.0167490496800233,results_OF_1.csv
2,OF,GES,LightGBM,34,47,084da68000a6f7f1,0.9327391420775706,0.4960026965742425,0.5,0.0165048558896623,0.0158519241744599,results_OF_2.csv
3,OF,GES,LightGBM,34,47,084da68000a6f7f1,0.9338428469070934,0.4923279212381493,0.475,0.0164198712597099,0.0165565281547447,results_OF_3.csv
4,OF,GES,LightGBM,34,47,084da68000a6f7f1,0.9351817675199572,0.488716838632122,0.4651162790697674,0.0166870565882685,0.0163247238049442,results_OF_4.csv
5,OF,GES,LightGBM,34,47,084da68000a6f7f1,0.931371271829834,0.4880874187973334,0.4923076923076923,0.0165165621345374,0.0160951869166684,results_OF_5.csv
