SET,DAG,MODEL,K_EDGE,N_FEAT,FEATURE_KEY,AUROC,AUPRC,F1,Brier,ECE
OF,GES,XGBoost,1,14,daa9910e8071bea2,0.9376497238928574,0.45858999630827607,0.42045454545454547,0.016136180072213523,0.009968735316381908
OF,GES,RF,1,14,daa9910e8071bea2,0.9284907831599974,0.4357058736595255,0.4444444444444444,0.015959452054794522,0.004589320659770757
OF,GES,Logit,1,14,daa9910e8071bea2,0.9244848774344833,0.2587406751480727,0.2733812949640288,0.01887162251880318,0.01172030419702036
OF,GES,LightGBM,1,14,daa9910e8071bea2,0.922288323888515,0.4531199701591147,0.44776119402985076,0.016766799037208176,0.016393131942310048
OF,GES,FFMLP,1,14,daa9910e8071bea2,0.8754369585513603,0.2620465585306179,0.36470588235294116,0.01960140969467191,0.00732449841546819
OF,GES,XGBoost,2,15,94a6f15dee14fabd,0.937436220335671,0.4706221447701582,0.46808510638297873,0.01593904451162649,0.01142939963857863
OF,GES,LightGBM,2,15,94a6f15dee14fabd,0.9277959919230518,0.44750240287636256,0.49230769230769234,0.0165032941846344,0.015257204406443056
OF,GES,Logit,2,15,94a6f15dee14fabd,0.9233666977875242,0.25607573007143275,0.26666666666666666,0.01898027820797052,0.010988911142704848
OF,GES,RF,2,15,94a6f15dee14fabd,0.9126137177844844,0.4270833788546,0.41134751773049644,0.016056041375454293,0.004434442270058708
OF,GES,FFMLP,2,15,94a6f15dee14fabd,0.860357817487027,0.23841750651903976,0.3142857142857143,0.019857078610717,0.008091659857148163
OF,GES,XGBoost,3,16,074ddd55b1ae863a,0.9342155734560798,0.44987034507670937,0.4186046511627907,0.01630699655678067,0.011896076608269048
OF,GES,LightGBM,3,16,074ddd55b1ae863a,0.929344797388743,0.4420466703338404,0.4624277456647399,0.01655738514216752,0.016265145209337313
OF,GES,Logit,3,16,074ddd55b1ae863a,0.9232472805436741,0.25504981367660534,0.3522727272727273,0.01897443937540014,0.010798905663059128
OF,GES,RF,3,16,074ddd55b1ae863a,0.9187293281513487,0.4345363895131011,0.4027777777777778,0.015983316745876434,0.005070729661727705
OF,GES,FFMLP,3,16,074ddd55b1ae863a,0.8727156928733235,0.24195567045073899,0.2903225806451613,0.019760240215577846,0.009949038161898514
