Variable,N,Mean,Std,Min,Median,Max
leverage_ratio,17881,0.0,1.0,-2.3476,-0.1575,20.1202
asset_liabilities,17881,-0.0,1.0,-1.0682,-0.1517,25.6482
roe,17881,0.0,1.0,-15.0623,0.1001,21.027
asset_turnover,17881,0.0,1.0,-1.5795,-0.0938,23.6218
debt_ratio,17881,0.0,1.0,-13.5396,0.1578,1.6873
debt_ratio2,17881,-0.0,1.0,-1.2451,-0.214,7.4053
roa,17881,0.0,1.0,-7.9862,-0.0778,12.4665
capitalization_ratio,17881,0.0,1.0,-1.7024,-0.0903,2.6071
longtermdebt_invcap,17881,0.0,1.0,-1.506,-0.1183,10.3202
totaldebt_invcap,17881,0.0,1.0,-1.2819,-0.25,6.8131
cash_debt,17881,-0.0,1.0,-10.1973,0.0712,6.9106
debt_ebitda,17881,-0.0,1.0,-14.3661,-0.1146,26.4781
rect_turn,17881,-0.0,1.0,-0.2475,-0.0993,37.8508
edge_NOTEARS__asset_liabilities__rect_turn,17881,0.2971,6.8118,-5.8356,0.0001,428.3522
edge_NOTEARS__debt_ratio__leverage_ratio,17881,0.4063,0.9753,-1.5383,0.1283,17.7168
edge_NOTEARS__debt_ratio__asset_liabilities,17881,1.0249,10.4324,-1.9277,0.1648,388.2157
edge_NOTEARS__debt_ratio2__debt_ratio,17881,-0.0363,0.905,-7.1535,-0.0144,19.2987
edge_NOTEARS__debt_ratio2__roa,17881,0.0733,1.4254,-22.1412,-0.004,40.7758
edge_NOTEARS__debt_ratio2__capitalization_ratio,17881,0.442,0.9546,-5.8581,0.1942,12.5565
edge_NOTEARS__debt_ratio2__totaldebt_invcap,17881,0.402,1.0753,-1.2955,0.1515,28.3643
edge_NOTEARS__roa__roe,17881,0.2916,1.6163,-12.4184,0.0262,47.2563
edge_NOTEARS__roa__asset_turnover,17881,0.2559,2.3171,-26.0369,0.0282,105.7956
edge_NOTEARS__capitalization_ratio__debt_ratio,17881,0.1371,0.6993,-15.0883,0.0335,12.3042
edge_NOTEARS__capitalization_ratio__roa,17881,0.0404,0.5702,-10.8754,0.0128,7.9349
edge_NOTEARS__capitalization_ratio__longtermdebt_invcap,17881,0.8208,1.0242,-1.2451,0.5245,18.387
edge_NOTEARS__capitalization_ratio__totaldebt_invcap,17881,-0.1327,0.7579,-7.6738,-0.0342,8.4335
edge_NOTEARS__longtermdebt_invcap__totaldebt_invcap,17881,0.1229,0.8035,-4.3402,0.0234,25.7157
edge_NOTEARS__totaldebt_invcap__leverage_ratio,17881,0.1953,0.5635,-2.6587,0.0604,9.7647
edge_NOTEARS__totaldebt_invcap__debt_ratio,17881,0.2468,0.6647,-8.4397,0.0524,9.0802
edge_NOTEARS__debt_ebitda__debt_ratio2,17881,0.1047,0.5686,-15.6847,0.04,20.2889
