Variable,N,Mean,Std,Min,Median,Max
leverage_ratio,17881,0.0,1.0,-2.3476,-0.1575,20.1202
asset_liabilities,17881,-0.0,1.0,-1.0682,-0.1517,25.6482
roe,17881,0.0,1.0,-15.0623,0.1001,21.027
asset_turnover,17881,0.0,1.0,-1.5795,-0.0938,23.6218
debt_ratio,17881,0.0,1.0,-13.5396,0.1578,1.6873
debt_ratio2,17881,-0.0,1.0,-1.2451,-0.214,7.4053
roa,17881,0.0,1.0,-7.9862,-0.0778,12.4665
capitalization_ratio,17881,0.0,1.0,-1.7024,-0.0903,2.6071
longtermdebt_invcap,17881,0.0,1.0,-1.506,-0.1183,10.3202
totaldebt_invcap,17881,0.0,1.0,-1.2819,-0.25,6.8131
cash_debt,17881,-0.0,1.0,-10.1973,0.0712,6.9106
debt_ebitda,17881,-0.0,1.0,-14.3661,-0.1146,26.4781
rect_turn,17881,-0.0,1.0,-0.2475,-0.0993,37.8508
