leverage_ratio,asset_liabilities,roe,asset_turnover,debt_ratio,debt_ratio2,roa,capitalization_ratio,longtermdebt_invcap,totaldebt_invcap,cash_debt,debt_ebitda,rect_turn,label
0.876429176,-0.508196683,0.118442329,0.158477806,0.751308154,-0.861880392,-0.350501525,-0.603413612,-0.567982117,-0.525531554,-0.547161165,-0.294547058,-0.000390267,0
0.832124495,-0.497639015,0.179507116,0.27060861,0.7284793,-0.880130335,-0.214150259,-0.666988737,-0.622248453,-0.547996803,-0.284828041,-0.316283342,0.010355599,0
0.956800984,-0.527110864,0.301636692,0.27060861,0.796965861,-0.807130562,-0.145974626,-0.271914743,-0.285021936,-0.482098738,0.502171329,-0.287390804,-0.004688614,0
0.591231708,-0.448927366,0.484831054,0.607001022,0.637163886,-0.615506157,0.126727906,-0.476263361,-0.358669106,-0.067240461,-0.547161165,-0.258498266,0.018952293,0
0.532900922,-0.451508254,0.387127394,0.859295331,0.591506179,-0.606381185,-0.00962336,-0.603413612,-0.49045878,-0.044775211,1.008099495,-0.24425264,0.068383278,0
0.397092604,-0.406264252,0.661918939,1.39191665,0.523019618,-0.533381412,0.467606072,-0.517133084,-0.215250932,0.244277667,0.221100125,-0.266791494,0.13500765,0
0.321173528,-0.368094466,0.478724576,1.504047454,0.500190765,-0.506006497,-0.00962336,-0.449016878,-0.133851428,0.233793884,0.071195483,-0.210477798,0.117814264,0
0.411563982,-0.385157464,0.423766267,1.083556939,0.545848472,-0.57900627,-0.077798993,-0.167469894,0.284774594,0.08702092,-0.1349234,-0.227131136,0.066234105,0
0.435163461,-0.373266502,0.405446831,1.251753145,0.545848472,-0.597256213,-0.077798993,-0.144764492,0.323536263,0.06455567,0.296052446,-0.231010226,0.070532451,0
0.505293985,-0.443282046,-0.003687246,1.11158964,0.591506179,-0.661131015,-0.623204058,-0.335489869,-0.339288272,-0.32034894,0.239838205,-0.145335826,0.057637412,0
0.587224249,-0.441851792,-0.284585269,0.859295331,0.637163886,-0.697630902,-0.623204058,-0.362736351,-0.362545273,-0.357791023,0.408480927,-0.160250261,0.046891545,0
0.459430849,-0.454424357,-0.284585269,0.607001022,0.568677325,-0.706755873,-0.486852791,-0.439934718,-0.42844011,-0.390740056,0.221100125,-0.205863017,0.029698159,0
0.436276644,-0.385066669,-0.608228644,0.719131826,0.545848472,-0.652006043,-0.623204058,-0.46264012,-0.447820944,-0.294888324,-1.128041652,-0.144332612,0.046891545,0
0.484811419,-0.43916713,-0.363969493,0.803229929,0.568677325,-0.606381185,-0.350501525,-0.476263361,-0.459449445,-0.199036592,-0.266089961,-0.199576215,0.068383278,0
0.432491822,-0.396832926,-0.144136258,0.971426135,0.545848472,-0.68850593,-0.00962336,-0.485345521,-0.467201779,-0.35629334,0.108671644,-0.278228124,0.096322531,0
