RUN,SEED,AUROC_O,AUPRC_O,F1_O,THR_O,AUROC_OF,AUPRC_OF,F1_OF,THR_OF,d_AUROC,d_AUPRC,d_F1
1,42,0.923703237,0.453826323,0.447761194,0.11,0.93425176,0.489086663,0.4625,0.01,0.010548523,0.03526034,0.014738806
2,43,0.920106245,0.440727003,0.467153285,0.11,0.928280898,0.487167222,0.492537313,0.07,0.008174653,0.046440219,0.025384029
3,44,0.919708188,0.44094249,0.459459459,0.04,0.930672862,0.496221846,0.492537313,0.05,0.010964674,0.055279356,0.033077854
4,45,0.922349842,0.454810901,0.44295302,0.04,0.93377771,0.489790192,0.46875,0.12,0.011427868,0.034979291,0.02579698
5,46,0.922653813,0.445650683,0.434782609,0.1,0.934117868,0.494740325,0.484375,0.12,0.011464055,0.049089642,0.049592391
6,47,0.922892648,0.441439499,0.462585034,0.05,0.930325466,0.488565306,0.481481481,0.01,0.007432819,0.047125806,0.018896447
7,48,0.918926548,0.443157916,0.474820144,0.06,0.931212049,0.494576631,0.496240602,0.06,0.012285501,0.051418715,0.021420458
8,49,0.921861317,0.446755312,0.451612903,0.02,0.931031114,0.486553573,0.476923077,0.12,0.009169797,0.039798261,0.025310174
9,50,0.921408979,0.439771952,0.448979592,0.04,0.932598013,0.489603151,0.472440945,0.15,0.011189034,0.0498312,0.023461353
10,51,0.919921691,0.446097027,0.478873239,0.06,0.930097488,0.490455622,0.472049689,0.01,0.010175797,0.044358595,-0.00682355
11,52,0.920167763,0.45152464,0.488888889,0.1,0.934606394,0.486672672,0.456692913,0.15,0.01443863,0.035148032,-0.032195976
12,53,0.915108814,0.449218456,0.465116279,0.13,0.932308516,0.490028904,0.476190476,0.13,0.017199702,0.040810449,0.011074197
13,54,0.919458497,0.439505821,0.488549618,0.14,0.931212049,0.489118279,0.496350365,0.04,0.011753552,0.049612458,0.007800747
14,55,0.916335555,0.447496212,0.485294118,0.07,0.933842847,0.492327921,0.475,0.01,0.017507292,0.04483171,-0.010294118
15,56,0.921995209,0.439997222,0.455284553,0.21,0.930162625,0.495430151,0.488549618,0.06,0.008167416,0.055432929,0.033265065
16,57,0.921919216,0.437921767,0.455172414,0.06,0.930347178,0.490879296,0.481203008,0.08,0.008427962,0.052957529,0.026030594
17,58,0.921622482,0.444237462,0.461538462,0.06,0.930759711,0.491455284,0.472440945,0.17,0.009137229,0.047217822,0.010902483
18,59,0.92400359,0.44513554,0.46969697,0.11,0.93277171,0.492220787,0.453125,0.13,0.008768121,0.047085247,-0.01657197
19,60,0.921503065,0.44430604,0.463768116,0.08,0.930871891,0.492512926,0.464,0.2,0.009368826,0.048206885,0.000231884
20,61,0.915955591,0.445464876,0.484848485,0.12,0.932160149,0.480539747,0.476190476,0.12,0.016204558,0.035074871,-0.008658009
21,62,0.926391935,0.44847396,0.459459459,0.04,0.931266329,0.489975838,0.480620155,0.13,0.004874395,0.041501877,0.021160696
22,63,0.920366792,0.450648799,0.478873239,0.06,0.933897127,0.488676937,0.517985612,0.04,0.013530336,0.038028138,0.039112372
23,64,0.920348698,0.440674953,0.474820144,0.07,0.935181768,0.488716839,0.465116279,0.1,0.014833069,0.048041886,-0.009703865
24,65,0.91992531,0.445302625,0.468965517,0.05,0.932934552,0.4842121,0.46875,0.13,0.013009242,0.038909475,-0.000215517
25,66,0.916122052,0.441067804,0.459459459,0.05,0.930672862,0.480894198,0.481751825,0.03,0.01455081,0.039826395,0.022292365
26,67,0.921278705,0.445861724,0.471428571,0.07,0.927817704,0.478280703,0.496240602,0.08,0.006538999,0.032418978,0.02481203
27,68,0.917392217,0.45128244,0.464788732,0.07,0.932507545,0.497021473,0.473282443,0.07,0.015115328,0.045739032,0.00849371
28,69,0.919892742,0.441434223,0.468965517,0.05,0.930640294,0.484692815,0.507246377,0.05,0.010747552,0.043258592,0.03828086
29,70,0.918593627,0.45726979,0.467153285,0.1,0.931570301,0.488979876,0.388888889,0.68,0.012976674,0.031710086,-0.078264396
30,71,0.916907311,0.449880227,0.429378531,0.01,0.930093869,0.494284006,0.470588235,0.25,0.013186559,0.044403779,0.041209704
,,0.920294056,0.44566279,0.464347695,0.076,0.931733022,0.489456043,0.476334955,0.112333333,0.011438966,0.043793253,0.01198726
