seed,type,feature_count,features
35,original,13,"leverage_ratio, asset_liabilities, roe, asset_turnover, debt_ratio, debt_ratio2, roa, capitalization_ratio, longtermdebt_invcap, totaldebt_invcap, cash_debt, debt_ebitda, rect_turn"
35,pairwise,34,"debt_ratio2__mul__rect_turn, leverage_ratio__mul__roe, debt_ratio__mul__roa, asset_turnover__mul__rect_turn, roe__mul__roa, cash_debt__mul__debt_ebitda, asset_turnover__mul__totaldebt_invcap, roa__mul__longtermdebt_invcap, asset_liabilities__mul__debt_ratio, asset_liabilities__mul__totaldebt_invcap, asset_liabilities__mul__roe, asset_turnover__mul__roa, roe__mul__asset_turnover, roe__mul__totaldebt_invcap, debt_ratio2__mul__roa, capitalization_ratio__mul__longtermdebt_invcap, totaldebt_invcap__mul__cash_debt, roe__mul__capitalization_ratio, roe__mul__cash_debt, cash_debt__mul__rect_turn, asset_liabilities__mul__debt_ebitda, debt_ratio2__mul__cash_debt, asset_liabilities__mul__asset_turnover, longtermdebt_invcap__mul__totaldebt_invcap, leverage_ratio__mul__roa, debt_ratio__mul__cash_debt, leverage_ratio__mul__cash_debt, roa__mul__cash_debt, longtermdebt_invcap__mul__cash_debt, asset_turnover__mul__cash_debt, roe__mul__debt_ebitda, roe__mul__debt_ratio2, leverage_ratio__mul__asset_liabilities, roe__mul__rect_turn"
42,original,13,"leverage_ratio, asset_liabilities, roe, asset_turnover, debt_ratio, debt_ratio2, roa, capitalization_ratio, longtermdebt_invcap, totaldebt_invcap, cash_debt, debt_ebitda, rect_turn"
42,pairwise,34,"debt_ratio2__mul__rect_turn, leverage_ratio__mul__roe, roe__mul__roa, roe__mul__totaldebt_invcap, cash_debt__mul__debt_ebitda, debt_ratio__mul__roa, longtermdebt_invcap__mul__totaldebt_invcap, asset_liabilities__mul__roe, asset_turnover__mul__rect_turn, longtermdebt_invcap__mul__rect_turn, cash_debt__mul__rect_turn, asset_turnover__mul__cash_debt, asset_turnover__mul__debt_ratio2, debt_ebitda__mul__rect_turn, roa__mul__longtermdebt_invcap, asset_liabilities__mul__asset_turnover, asset_liabilities__mul__longtermdebt_invcap, roe__mul__asset_turnover, roe__mul__debt_ebitda, asset_liabilities__mul__roa, leverage_ratio__mul__asset_liabilities, asset_liabilities__mul__rect_turn, roe__mul__cash_debt, totaldebt_invcap__mul__debt_ebitda, capitalization_ratio__mul__longtermdebt_invcap, roe__mul__debt_ratio2, asset_liabilities__mul__debt_ratio, totaldebt_invcap__mul__rect_turn, leverage_ratio__mul__longtermdebt_invcap, asset_turnover__mul__roa, debt_ratio2__mul__roa, asset_liabilities__mul__cash_debt, totaldebt_invcap__mul__cash_debt, roe__mul__rect_turn"
55,original,13,"leverage_ratio, asset_liabilities, roe, asset_turnover, debt_ratio, debt_ratio2, roa, capitalization_ratio, longtermdebt_invcap, totaldebt_invcap, cash_debt, debt_ebitda, rect_turn"
55,pairwise,34,"debt_ratio__mul__roa, roe__mul__totaldebt_invcap, asset_turnover__mul__cash_debt, roe__mul__debt_ratio2, asset_turnover__mul__debt_ebitda, asset_liabilities__mul__asset_turnover, leverage_ratio__mul__roa, asset_turnover__mul__debt_ratio2, asset_turnover__mul__rect_turn, capitalization_ratio__mul__rect_turn, capitalization_ratio__mul__longtermdebt_invcap, leverage_ratio__mul__debt_ratio, roe__mul__cash_debt, leverage_ratio__mul__asset_turnover, asset_liabilities__mul__capitalization_ratio, roe__mul__asset_turnover, roe__mul__debt_ebitda, longtermdebt_invcap__mul__totaldebt_invcap, asset_turnover__mul__roa, totaldebt_invcap__mul__cash_debt, debt_ratio__mul__cash_debt, debt_ebitda__mul__rect_turn, asset_liabilities__mul__debt_ratio, leverage_ratio__mul__debt_ebitda, roe__mul__roa, leverage_ratio__mul__asset_liabilities, leverage_ratio__mul__rect_turn, asset_liabilities__mul__roa, leverage_ratio__mul__cash_debt, debt_ratio2__mul__cash_debt, longtermdebt_invcap__mul__cash_debt, roe__mul__capitalization_ratio, asset_liabilities__mul__cash_debt, debt_ratio2__mul__roa"
64,original,13,"leverage_ratio, asset_liabilities, roe, asset_turnover, debt_ratio, debt_ratio2, roa, capitalization_ratio, longtermdebt_invcap, totaldebt_invcap, cash_debt, debt_ebitda, rect_turn"
64,pairwise,34,"debt_ratio2__mul__rect_turn, leverage_ratio__mul__roe, roe__mul__roa, roe__mul__totaldebt_invcap, asset_turnover__mul__rect_turn, asset_turnover__mul__debt_ebitda, roe__mul__cash_debt, roe__mul__longtermdebt_invcap, roe__mul__debt_ebitda, roa__mul__debt_ebitda, totaldebt_invcap__mul__rect_turn, asset_turnover__mul__cash_debt, asset_liabilities__mul__asset_turnover, longtermdebt_invcap__mul__cash_debt, capitalization_ratio__mul__longtermdebt_invcap, cash_debt__mul__rect_turn, asset_liabilities__mul__rect_turn, asset_liabilities__mul__debt_ratio, longtermdebt_invcap__mul__totaldebt_invcap, asset_turnover__mul__debt_ratio2, totaldebt_invcap__mul__cash_debt, asset_turnover__mul__totaldebt_invcap, roa__mul__rect_turn, debt_ratio__mul__roa, asset_turnover__mul__roa, capitalization_ratio__mul__cash_debt, asset_liabilities__mul__roa, leverage_ratio__mul__debt_ebitda, roe__mul__rect_turn, debt_ratio__mul__totaldebt_invcap, roe__mul__asset_turnover, debt_ratio2__mul__roa, debt_ratio__mul__debt_ebitda, roa__mul__totaldebt_invcap"
100,original,13,"leverage_ratio, asset_liabilities, roe, asset_turnover, debt_ratio, debt_ratio2, roa, capitalization_ratio, longtermdebt_invcap, totaldebt_invcap, cash_debt, debt_ebitda, rect_turn"
100,pairwise,34,"roe__mul__totaldebt_invcap, asset_turnover__mul__totaldebt_invcap, asset_turnover__mul__cash_debt, roe__mul__roa, asset_turnover__mul__rect_turn, roe__mul__asset_turnover, roe__mul__rect_turn, asset_turnover__mul__roa, roa__mul__cash_debt, asset_turnover__mul__debt_ratio, capitalization_ratio__mul__longtermdebt_invcap, debt_ebitda__mul__rect_turn, asset_liabilities__mul__debt_ebitda, roa__mul__rect_turn, debt_ratio2__mul__rect_turn, asset_turnover__mul__capitalization_ratio, roe__mul__debt_ebitda, longtermdebt_invcap__mul__totaldebt_invcap, asset_liabilities__mul__asset_turnover, asset_liabilities__mul__longtermdebt_invcap, cash_debt__mul__rect_turn, debt_ratio2__mul__cash_debt, asset_turnover__mul__debt_ratio2, asset_liabilities__mul__debt_ratio, totaldebt_invcap__mul__cash_debt, asset_liabilities__mul__totaldebt_invcap, totaldebt_invcap__mul__debt_ebitda, asset_liabilities__mul__cash_debt, leverage_ratio__mul__asset_liabilities, roa__mul__totaldebt_invcap, capitalization_ratio__mul__rect_turn, longtermdebt_invcap__mul__rect_turn, leverage_ratio__mul__roa, longtermdebt_invcap__mul__debt_ebitda"
