seed,rank_within_seed,feature,importance_gain
35,1,debt_ratio2__mul__rect_turn,20675.50451667607
35,2,leverage_ratio__mul__roe,11105.199329793453
35,3,debt_ratio__mul__roa,9889.402616381645
35,4,asset_turnover__mul__rect_turn,7725.118584692478
35,5,roe__mul__roa,7323.577495217323
35,6,cash_debt__mul__debt_ebitda,6973.438191667199
35,7,asset_turnover__mul__totaldebt_invcap,6889.9545132517815
35,8,roa__mul__longtermdebt_invcap,6085.923551931977
35,9,asset_liabilities__mul__debt_ratio,4677.603305995464
35,10,asset_liabilities__mul__totaldebt_invcap,4417.748927727342
35,11,asset_liabilities__mul__roe,4349.103293776512
35,12,asset_turnover__mul__roa,3864.5776316672564
35,13,roe__mul__asset_turnover,3856.9204378426075
35,14,roe__mul__totaldebt_invcap,3424.1972940564156
35,15,debt_ratio2__mul__roa,3400.445204138756
35,16,capitalization_ratio__mul__longtermdebt_invcap,3180.392174780369
35,17,totaldebt_invcap__mul__cash_debt,3161.785951256752
35,18,roe__mul__capitalization_ratio,2964.7734168320894
35,19,roe__mul__cash_debt,2648.057377770543
35,20,cash_debt__mul__rect_turn,2450.453253418207
35,21,asset_liabilities__mul__debt_ebitda,2418.667812615633
35,22,debt_ratio2__mul__cash_debt,2119.588236451149
35,23,asset_liabilities__mul__asset_turnover,2078.0230525434017
35,24,longtermdebt_invcap__mul__totaldebt_invcap,1892.854956626892
35,25,leverage_ratio__mul__roa,1780.2381482124329
35,26,debt_ratio__mul__cash_debt,1647.7171137183905
35,27,leverage_ratio__mul__cash_debt,1613.8028220683336
35,28,roa__mul__cash_debt,1567.7557919025421
35,29,longtermdebt_invcap__mul__cash_debt,1561.549557581544
35,30,asset_turnover__mul__cash_debt,1559.1217028200626
35,31,roe__mul__debt_ebitda,1494.4086756110191
35,32,roe__mul__debt_ratio2,1452.585021942854
35,33,leverage_ratio__mul__asset_liabilities,1339.8603882491589
35,34,roe__mul__rect_turn,1292.064944818616
42,1,debt_ratio2__mul__rect_turn,20720.573982819915
42,2,leverage_ratio__mul__roe,12156.957582727075
42,3,roe__mul__roa,9608.057252839208
42,4,roe__mul__totaldebt_invcap,9256.018764346838
42,5,cash_debt__mul__debt_ebitda,8134.9465899169445
42,6,debt_ratio__mul__roa,7778.409520059824
42,7,longtermdebt_invcap__mul__totaldebt_invcap,5115.689897567034
42,8,asset_liabilities__mul__roe,4958.131906360388
42,9,asset_turnover__mul__rect_turn,4298.933075234294
42,10,longtermdebt_invcap__mul__rect_turn,4142.7034090310335
42,11,cash_debt__mul__rect_turn,4079.3941567987204
42,12,asset_turnover__mul__cash_debt,4040.2022875100374
42,13,asset_turnover__mul__debt_ratio2,3755.9184295535088
42,14,debt_ebitda__mul__rect_turn,3689.0819870978594
42,15,roa__mul__longtermdebt_invcap,3610.2345689833164
42,16,asset_liabilities__mul__asset_turnover,3461.9344518631697
42,17,asset_liabilities__mul__longtermdebt_invcap,3420.210205152631
42,18,roe__mul__asset_turnover,2883.371084064245
42,19,roe__mul__debt_ebitda,2846.7269494980574
42,20,asset_liabilities__mul__roa,2713.3106918036938
42,21,leverage_ratio__mul__asset_liabilities,2577.9893823713064
42,22,asset_liabilities__mul__rect_turn,2449.685846745968
42,23,roe__mul__cash_debt,2327.3077630996704
42,24,totaldebt_invcap__mul__debt_ebitda,2152.1067289114
42,25,capitalization_ratio__mul__longtermdebt_invcap,2117.821399912238
42,26,roe__mul__debt_ratio2,2031.5540555417538
42,27,asset_liabilities__mul__debt_ratio,2017.9211479276419
42,28,totaldebt_invcap__mul__rect_turn,1959.1583722680807
42,29,leverage_ratio__mul__longtermdebt_invcap,1888.353886961937
42,30,asset_turnover__mul__roa,1846.421007618308
42,31,debt_ratio2__mul__roa,1524.1734060943127
42,32,asset_liabilities__mul__cash_debt,1492.5926494598389
42,33,totaldebt_invcap__mul__cash_debt,1464.8243056833744
42,34,roe__mul__rect_turn,1381.400511264801
55,1,debt_ratio__mul__roa,15832.208945006132
55,2,roe__mul__totaldebt_invcap,13782.494088739157
55,3,asset_turnover__mul__cash_debt,10309.159670263529
55,4,roe__mul__debt_ratio2,8547.490755915642
55,5,asset_turnover__mul__debt_ebitda,6359.822100296617
55,6,asset_liabilities__mul__asset_turnover,6083.179616600275
55,7,leverage_ratio__mul__roa,5407.957589894533
55,8,asset_turnover__mul__debt_ratio2,4647.6951541006565
55,9,asset_turnover__mul__rect_turn,4113.440070971847
55,10,capitalization_ratio__mul__rect_turn,4074.4130939394236
55,11,capitalization_ratio__mul__longtermdebt_invcap,3934.3895196169615
55,12,leverage_ratio__mul__debt_ratio,3722.8929415494204
