,Unnamed: 0,leverage_ratio,asset_liabilities,roe,asset_turnover,debt_ratio,debt_ratio2,roa,capitalization_ratio,longtermdebt_invcap,cash_debt,debt_ebitda,rect_turn,totaldebt_invcap
Unnamed: 0,1.0,-0.4132163298052358,0.22109075094746702,-0.1670672134892379,-0.34892412539192125,-0.3276176845222572,-0.08707589397808305,-0.1367230387926151,0.07985434060313136,0.03814866715014802,0.0037304526284457906,0.0023695924946794135,-0.056704863690568215,-0.40413911866738866
leverage_ratio,-0.4132163298052358,1.0,-0.5273051383650044,-0.10198321426530073,0.15832068719209058,0.7289854222510224,0.18128434562667728,-0.20328367344403167,0.24182094350996902,0.23920135916218635,-0.057720484349911394,0.09583439591488721,-0.05866520248001962,0.5230065720877389
asset_liabilities,0.22109075094746702,-0.5273051383650044,1.0,-0.024898393125940235,0.13442672607675232,-0.9167743997403709,-0.008432034904322564,0.259494282193587,-0.13110168236634623,-0.13076376089750252,0.13931874338513875,-0.042241048128361026,0.5098582907831524,-0.26396503928667536
roe,-0.1670672134892379,-0.10198321426530073,-0.024898393125940235,1.0,0.14430865703884835,0.017514858678937036,0.01945679584246891,0.4825502283167868,-0.07411554391313481,-0.05625844642590065,0.0025681132602462784,0.026502801022164246,0.017984283990226668,0.05507279352994218
asset_turnover,-0.34892412539192125,0.15832068719209058,0.13442672607675232,0.14430865703884835,1.0,-0.03992562730722245,0.18373159194589783,0.5010719741005388,-0.005698344274017022,0.018702569945609007,-0.00029381814167923204,-0.02615860368336101,0.4382069970337857,0.22368027247519265
debt_ratio,-0.3276176845222572,0.7289854222510224,-0.9167743997403709,0.017514858678937036,-0.03992562730722245,1.0,0.05879697240527478,-0.24792482429676568,0.1907750049017539,0.18779498100306555,-0.10992643695754573,0.057294163652058326,-0.38282667825590033,0.38190007674487597
debt_ratio2,-0.08707589397808305,0.18128434562667728,-0.008432034904322564,0.01945679584246891,0.18373159194589783,0.05879697240527478,1.0,0.13693493413037464,0.6731302296668881,0.5924014339964065,-0.1315949236126799,0.32664244241535767,0.1930604828102335,0.5298664601679499
roa,-0.1367230387926151,-0.20328367344403167,0.259494282193587,0.4825502283167868,0.5010719741005388,-0.24792482429676568,0.13693493413037464,1.0,-0.0867618475266161,-0.07951249818234654,0.036506889897137004,-0.07554308719315589,0.3766042674915623,-0.05816598795030004
capitalization_ratio,0.07985434060313136,0.24182094350996902,-0.13110168236634623,-0.07411554391313481,-0.005698344274017022,0.1907750049017539,0.6731302296668881,-0.0867618475266161,1.0,0.9041108537209628,-0.06390497820577738,0.25418218882308313,0.01950164224108948,0.16106253776166252
longtermdebt_invcap,0.03814866715014802,0.23920135916218635,-0.13076376089750252,-0.05625844642590065,0.018702569945609007,0.18779498100306555,0.5924014339964065,-0.07951249818234654,0.9041108537209628,1.0,-0.05300160488535114,0.2290293078497027,0.015899757123281715,0.23720163648005813
cash_debt,0.0037304526284457906,-0.057720484349911394,0.13931874338513875,0.0025681132602462784,-0.00029381814167923204,-0.10992643695754573,-0.1315949236126799,0.036506889897137004,-0.06390497820577738,-0.05300160488535114,1.0,-0.05844420550902765,0.09008606256251682,-0.14654288403068275
debt_ebitda,0.0023695924946794135,0.09583439591488721,-0.042241048128361026,0.026502801022164246,-0.02615860368336101,0.057294163652058326,0.32664244241535767,-0.07554308719315589,0.25418218882308313,0.2290293078497027,-0.05844420550902765,1.0,0.004810651598402343,0.2042234931663424
rect_turn,-0.056704863690568215,-0.05866520248001962,0.5098582907831524,0.017984283990226668,0.4382069970337857,-0.38282667825590033,0.1930604828102335,0.3766042674915623,0.01950164224108948,0.015899757123281715,0.09008606256251682,0.004810651598402343,1.0,0.04320449598124579
totaldebt_invcap,-0.40413911866738866,0.5230065720877389,-0.26396503928667536,0.05507279352994218,0.22368027247519265,0.38190007674487597,0.5298664601679499,-0.05816598795030004,0.16106253776166252,0.23720163648005813,-0.14654288403068275,0.2042234931663424,0.04320449598124579,1.0
