column,corr_with_target,n_used
asset_turnover,-0.10873071679720828,17881
totaldebt_invcap,-0.10284784231587082,17881
debt_ratio2,-0.08057851902108333,17881
leverage_ratio,-0.07539026397497423,17881
capitalization_ratio,-0.07356375039827098,17881
longtermdebt_invcap,-0.069984802883755,17881
Unnamed: 0,0.06926605643203312,17881
debt_ratio,-0.05853011924155587,17881
asset_liabilities,0.04679467854449189,17881
debt_ebitda,-0.037711340281441776,17881
roe,0.01241291310962337,17881
roa,0.006479876417765477,17881
cash_debt,-0.005030280825138554,17881
rect_turn,-0.004944551908118056,17881
