column,n0,n1,mean0,mean1,mean_diff(1-0),cohen_d(approx)
asset_turnover,17485,396,0.016363154301703018,-0.7224993761749414,-0.7388625304766444,-0.7432276260597835
totaldebt_invcap,17485,396,0.015477825981324139,-0.6834085537460858,-0.69888637972741,-0.7025729671972866
debt_ratio2,17485,396,0.012126460479459897,-0.5354322259680727,-0.5475586864475326,-0.5493142881285348
leverage_ratio,17485,396,0.011345667154658803,-0.5009570459576114,-0.5123027131122702,-0.5137361009002145
capitalization_ratio,17485,396,0.011070790612223571,-0.4888201359967905,-0.499890926609014,-0.5012210192848391
longtermdebt_invcap,17485,396,0.010532185955298942,-0.46503856421313944,-0.47557075016843836,-0.47671302584184694
debt_ratio,17485,396,0.008808342303425445,-0.3889239019580789,-0.39773224426150433,-0.3983929881345298
asset_liabilities,17485,396,-0.0070422468284682075,0.3109436509993673,0.31798589782783554,0.3183168207243533
debt_ebitda,17485,396,0.005675272803546023,-0.2505862246717221,-0.2562614974752681,-0.25642957049175036
roe,17485,396,-0.0018680499727158682,0.08248195397206189,0.08435000394477775,0.08435178524419878
roa,17485,396,-0.0009751726172985986,0.043057811145106484,0.04403298376240508,0.0440314455598764
cash_debt,17485,396,0.0007570193938494839,-0.03342546490267129,-0.03418248429652077,-0.03418100503404116
rect_turn,17485,396,0.0007441178372456661,-0.032855809051114834,-0.0335999268883605,-0.03359845847040407
