column,mean_used,std_used,status
Unnamed: 0,10752.52004921425,6192.1944077988455,scaled
leverage_ratio,10.996409037525867,4.491624732868376,scaled
asset_liabilities,1.1100193100560904,0.08455633047556166,scaled
roe,0.08760382528941334,0.16376049755408223,scaled
asset_turnover,0.07534668083440522,0.035672623895708785,scaled
debt_ratio,0.9040895363793972,0.04380421463066354,scaled
debt_ratio2,0.13745293887366478,0.10958938125609038,scaled
roa,0.023141155416363732,0.014667997270811382,scaled
capitalization_ratio,0.3768788658352441,0.220211913183344,scaled
longtermdebt_invcap,0.3905319053744198,0.25798682904790626,scaled
totaldebt_invcap,0.8638963145237961,0.6676978996482908,scaled
cash_debt,0.009200492142497617,0.0533672599924975,scaled
debt_ebitda,6.822055086404563,14.951957499908291,scaled
rect_turn,0.1541815893965662,0.46529519266572716,scaled
