,leverage_ratio,asset_liabilities,roe,asset_turnover,debt_ratio,debt_ratio2,roa,capitalization_ratio,longtermdebt_invcap,totaldebt_invcap,cash_debt,debt_ebitda,rect_turn,label
1,14.933,1.0670480633509802,0.107,0.081,0.937,0.043,0.018000000000000002,0.244,0.244,0.513,-0.02,2.418,0.154,0
2,14.734000000000002,1.0679407810658743,0.11699999999999999,0.085,0.9359999999999999,0.040999999999999995,0.02,0.23,0.23,0.498,-0.006,2.093,0.159,0
3,15.294,1.0654487496655825,0.13699999999999998,0.085,0.9390000000000001,0.049,0.021,0.317,0.317,0.542,0.036000000000000004,2.525,0.152,0
4,13.652000000000001,1.0720596593355494,0.16699999999999998,0.09699999999999999,0.932,0.07,0.025,0.272,0.298,0.8190000000000001,-0.02,2.957,0.163,0
5,13.39,1.071841428959088,0.151,0.106,0.93,0.071,0.023,0.244,0.264,0.8340000000000001,0.063,3.17,0.18600000000000003,0
6,12.78,1.075667095673289,0.196,0.125,0.927,0.079,0.03,0.263,0.335,1.0270000000000001,0.021,2.833,0.217,0
7,12.439,1.078894592728622,0.166,0.129,0.9259999999999999,0.08199999999999999,0.023,0.278,0.35600000000000004,1.02,0.013000000000000001,3.675,0.209,0
8,12.845,1.0774518082349118,0.157,0.114,0.9279999999999999,0.07400000000000001,0.022000000000000002,0.34,0.46399999999999997,0.922,0.002,3.426,0.185,0
9,12.950999999999999,1.078457264387421,0.154,0.12,0.9279999999999999,0.07200000000000001,0.022000000000000002,0.345,0.474,0.907,0.025,3.3680000000000003,0.187,0
10,13.265999999999998,1.0725370069110336,0.087,0.115,0.93,0.065,0.013999999999999999,0.303,0.303,0.65,0.022000000000000002,4.649,0.18100000000000002,0
11,13.634,1.0726579438749588,0.040999999999999995,0.106,0.932,0.061,0.013999999999999999,0.297,0.297,0.625,0.031,4.426,0.17600000000000002,0
12,13.06,1.071594853958833,0.040999999999999995,0.09699999999999999,0.929,0.06,0.016,0.28,0.28,0.603,0.021,3.7439999999999998,0.168,0
13,12.956,1.0774594855175723,-0.012,0.10099999999999999,0.9279999999999999,0.066,0.013999999999999999,0.275,0.275,0.667,-0.051,4.664,0.17600000000000002,0
14,13.174000000000001,1.0728849491200503,0.027999999999999997,0.10400000000000001,0.929,0.071,0.018000000000000002,0.272,0.272,0.731,-0.005,3.838,0.18600000000000003,0
15,12.939,1.0764645740058212,0.064,0.11,0.9279999999999999,0.062,0.023,0.27,0.27,0.626,0.015,2.662,0.19899999999999998,0
16,12.672,1.075698521222293,0.077,0.099,0.927,0.061,0.023,0.22399999999999998,0.22399999999999998,0.643,0.035,2.64,0.183,0
17,12.318,1.0776426625733682,0.128,0.094,0.925,0.055999999999999994,0.03,0.153,0.153,0.627,-0.002,1.875,0.175,0
21,12.069,1.082854888851145,0.11699999999999999,0.094,0.9229999999999999,0.066,0.03,0.35600000000000004,0.35600000000000004,0.557,0.016,2.366,0.2,0
22,13.114,1.0762542130978354,0.16899999999999998,0.095,0.929,0.059000000000000004,0.032,0.41700000000000004,0.41700000000000004,0.485,0.018000000000000002,2.046,0.11,0
23,13.587,1.0736020235614465,0.17600000000000002,0.099,0.9309999999999999,0.10300000000000001,0.034,0.5529999999999999,0.5529999999999999,0.675,-0.017,3.31,0.115,0
24,13.69,1.0730416515803443,0.155,0.1,0.932,0.133,0.033,0.62,0.62,0.74,0.006,4.333,0.11699999999999999,0
25,13.606,1.0734988652783488,0.073,0.105,0.932,0.127,0.028999999999999998,0.575,0.575,0.787,-0.005,4.649,0.12300000000000001,0
26,14.262,1.0701190260263214,-0.001,0.109,0.934,0.136,0.018000000000000002,0.524,0.524,0.986,-0.03,7.968,0.126,0
27,18.421,1.0542802998458736,-0.139,0.11199999999999999,0.9490000000000001,0.16899999999999998,0.005,0.539,0.539,1.511,-0.057999999999999996,39.113,0.132,0
28,22.254,1.0449354065033372,0.125,0.127,0.9570000000000001,0.209,0.011000000000000001,0.237,0.237,3.713,-0.1,20.945999999999998,0.174,0
30,23.666999999999998,1.0402358451263243,0.171,0.121,0.9590000000000001,0.14800000000000002,0.027000000000000003,0.562,0.562,1.605,0.075,5.478,0.18,0
31,19.143,1.0434452742447968,0.237,0.113,0.95,0.168,0.033,0.5760000000000001,0.5760000000000001,1.4380000000000002,-0.078,5.2139999999999995,0.16399999999999998,0
32,14.811,1.0647272082645278,0.146,0.099,0.937,0.11699999999999999,0.035,0.5720000000000001,0.5720000000000001,0.789,0.237,3.353,0.14400000000000002,0
33,19.09,1.0626906855808695,0.10099999999999999,0.09,0.95,0.162,0.028999999999999998,0.604,0.604,1.2890000000000001,-0.114,5.9910000000000005,0.133,0
