,leverage_ratio,asset_liabilities,roe,asset_turnover,debt_ratio,debt_ratio2,roa,capitalization_ratio,longtermdebt_invcap,totaldebt_invcap,cash_debt,debt_ebitda,rect_turn
leverage_ratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
asset_liabilities,-4618.858806918808,0.0,-23.56035555300423,0.0,-32923.79967330186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2681.5148274646244
roe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
asset_turnover,-1102.06711036665,0.0,-317.29320934186126,0.0,0.0,0.0,0.0,-522.3617925897215,0.0,-1289.828497624363,0.0,0.0,-1688.7829356791426
debt_ratio,-11910.185814998253,0.0,-7.939993434715689,0.0,0.0,0.0,-1202.2257482491,-713.0508153292958,0.0,0.0,0.0,0.0,-673.641487181405
debt_ratio2,-479.7272720634428,7.972111043942391,0.0,0.0,-319.59120169164817,0.0,-631.8626815308471,-11416.720134895371,-7686.066532056421,-5706.561880478598,0.0,0.0,0.0
roa,-923.4572375444186,0.0,-5246.326446277403,-5159.854653248615,0.0,0.0,0.0,0.0,0.0,-1272.6367011466582,0.0,0.0,-318.65774901830446
capitalization_ratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
longtermdebt_invcap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
totaldebt_invcap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cash_debt,0.0,-341.2340287140815,0.0,0.0,-61.090867304032145,-246.25816565826904,0.0,0.0,-7.676177277081479,-123.3831582988887,0.0,0.0,-0.0039020704789436422
debt_ebitda,0.0,0.0,-78.14793405408636,0.0,0.0,-1951.3654605328302,-259.574374024126,0.0,0.0,0.0,0.0,0.0,0.0
rect_turn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
