,Unnamed: 0,leverage_ratio,asset_liabilities,roe,asset_turnover,debt_ratio,debt_ratio2,roa,capitalization_ratio,longtermdebt_invcap,totaldebt_invcap,cash_debt,debt_ebitda,rect_turn
Unnamed: 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-280.8250063971209,0.0,0.0,0.0,0.0,-3.153388772610924
leverage_ratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-435.6675308549384,0.0,0.0,0.0,0.0,-275.02181424395894
asset_liabilities,-135.80264321500908,-3962.6547615380514,0.0,-0.6562721340646789,-61.288782849781455,0.0,0.0,0.0,-99.64339553938044,0.0,0.0,0.0,0.0,-1487.1024378823276
roe,-176.80657818481632,-475.4126598694602,0.0,0.0,-413.5264654039165,0.0,0.0,0.0,0.0,0.0,-401.95216413625803,0.0,0.0,-127.65739243515964
asset_turnover,-1073.043073595375,-551.3321074156484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1173.9618066717412
debt_ratio,-652.0937321302263,-9948.112564337684,-32923.79967433745,5.210850456802799,0.0,0.0,0.0,-1202.2257481591362,-306.3770026615093,0.0,0.0,0.0,0.0,-52.32394001751709
debt_ratio2,0.0,-31.424032965565857,-285.1764818696902,6.581541299376465,0.0,-26.44260878201669,0.0,-631.8626815165476,-8598.348684787848,-7686.066531968235,-5653.588187372956,0.0,0.0,0.0
roa,-0.7012470588906581,-83.29773260458023,0.0,0.0,-5271.411738194714,0.0,0.0,0.0,0.0,0.0,-945.5950469648906,0.0,0.0,-615.4489765766957
capitalization_ratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
longtermdebt_invcap,0.0,-92.06264244267368,0.0,0.0,0.0,0.0,0.0,0.0,-22852.234645781846,0.0,-394.26403279060196,0.0,0.0,0.0
totaldebt_invcap,-1002.0132750159773,-1254.5607298513787,0.0,0.0,-1847.7389128281238,0.0,0.0,0.0,-5291.742029613975,0.0,0.0,0.0,0.0,0.0
cash_debt,-52.072261814510966,0.0,-220.41859764822584,0.0,0.0,-181.90629836891253,-246.25816565846776,0.0,0.0,-7.676177274524889,-92.12683959013611,0.0,0.0,-2.3709915463077778
debt_ebitda,0.0,0.0,0.0,2.3523799012751496,0.0,0.0,-1951.3654604857159,-259.57437401397556,0.0,0.0,0.0,0.0,0.0,0.0
rect_turn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
