,leverage_ratio,asset_liabilities,roe,asset_turnover,debt_ratio,debt_ratio2,roa,capitalization_ratio,longtermdebt_invcap,totaldebt_invcap,cash_debt,debt_ebitda,rect_turn
leverage_ratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
asset_liabilities,0.7842496878294754,0.0,-0.09523718190881175,0.0,-0.919852110112131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7917987532410673
roe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
asset_turnover,0.16938816628712572,0.0,-0.1383766626901139,0.0,0.0,0.0,0.0,-0.12626546775219666,0.0,0.25774143140113936,0.0,0.0,0.28536854163595515
debt_ratio,1.4107297393951839,0.0,0.06959341524683621,0.0,0.0,0.0,-0.2521291458768869,0.14529402265545277,0.0,0.0,0.0,0.0,0.38704148422711177
debt_ratio2,0.09504355930553597,0.010076094477155734,0.0,0.0,0.054380950206696185,0.0,0.19222603160980373,0.6877863364310018,0.595743312189409,0.5080825412798154,0.0,0.0,0.0
roa,-0.15492750688021092,0.0,0.5983927586303646,0.5010719740981291,0.0,0.0,0.0,0.0,0.0,-0.2543200207919821,0.0,0.0,0.12345067561006642
capitalization_ratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
longtermdebt_invcap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
totaldebt_invcap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cash_debt,0.0,0.14064470626917583,0.0,0.0,0.02538246011202355,-0.11289016736471527,0.0,0.0,0.025395190776401122,-0.07032163871832446,0.0,0.0,0.017896792792874393
debt_ebitda,0.0,0.0,0.060077282182644,0.0,0.0,0.3200446662776011,-0.12388673911071317,0.0,0.0,0.0,0.0,0.0,0.0
rect_turn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
