,leverage_ratio,asset_liabilities,roe,asset_turnover,debt_ratio,debt_ratio2,roa,capitalization_ratio,longtermdebt_invcap,totaldebt_invcap,cash_debt,debt_ebitda,rect_turn
leverage_ratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
asset_liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5826574702247664
roe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
asset_turnover,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
debt_ratio,0.557393441296437,-1.1179211560529136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
debt_ratio2,0.0,0.0,0.0,0.0,-0.6172496319068921,0.0,0.5353384591426054,0.6566884149981679,0.0,0.7587191209840305,0.0,0.0,0.0
roa,0.0,0.0,0.6042729730436368,0.5106724504908232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capitalization_ratio,0.0,0.0,0.0,0.0,0.7184078665538618,0.0,-0.46589696610519643,0.0,0.9078680235573486,-0.8238271083377011,0.0,0.0,0.0
longtermdebt_invcap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5180634316113449,0.0,0.0,0.0
totaldebt_invcap,0.3734174844013288,0.0,0.0,0.0,0.6461769376087184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cash_debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
debt_ebitda,0.0,0.0,0.0,0.0,0.0,0.3204634198782742,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rect_turn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
