,leverage_ratio,asset_liabilities,roe,asset_turnover,debt_ratio,debt_ratio2,roa,capitalization_ratio,longtermdebt_invcap,totaldebt_invcap,cash_debt,debt_ebitda,rect_turn
leverage_ratio,0.0,0.0,0.0,0.1583206871905965,0.0,0.0,0.0,0.01825804382505275,0.0,0.0,0.0,0.0,0.0
asset_liabilities,0.0,0.0,0.0,0.0,-0.9167743997353748,0.0,0.0,0.0,0.0,0.0,0.12191798170304605,0.0,0.774856032489876
roe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
asset_turnover,0.0,0.0,-0.13016456145783814,0.0,0.0,0.0,0.49253950339183233,0.0,0.0,0.0,0.0,0.0,0.27069194389279244
debt_ratio,0.6196191859347152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3598669881872109
debt_ratio2,0.0,0.0,0.0,0.0,0.0,0.0,0.046439867060475135,0.2107830949667907,0.5924014339990127,0.5676004694782198,-0.09728436378532715,0.3434265824425539,0.11314119662469183
roa,0.0,0.0,0.5477720420821419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12257018363804223,0.11362438835454136
capitalization_ratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
longtermdebt_invcap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7748752971049281,0.0,-0.10131411100800361,0.0,0.0,0.0
totaldebt_invcap,0.2863739574252265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06281307773603338,0.0,0.0
cash_debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
debt_ebitda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rect_turn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
