GROUP,FEATURE_TYPE,FEATURE_NAME,ALG,U,V,U_COL,V_COL,WEIGHT,EXPR
original,original,leverage_ratio,original,,,,,,
original,original,asset_liabilities,original,,,,,,
original,original,roe,original,,,,,,
original,original,asset_turnover,original,,,,,,
original,original,debt_ratio,original,,,,,,
original,original,debt_ratio2,original,,,,,,
original,original,roa,original,,,,,,
original,original,capitalization_ratio,original,,,,,,
original,original,longtermdebt_invcap,original,,,,,,
original,original,totaldebt_invcap,original,,,,,,
original,original,cash_debt,original,,,,,,
original,original,debt_ebitda,original,,,,,,
original,original,rect_turn,original,,,,,,
NOTEARS,edge,edge_NOTEARS__asset_liabilities__rect_turn,NOTEARS,asset_liabilities,rect_turn,asset_liabilities,rect_turn,0.7154210929108874,0.7154210929108874 * asset_liabilities * rect_turn
NOTEARS,edge,edge_NOTEARS__debt_ratio__leverage_ratio,NOTEARS,debt_ratio,leverage_ratio,debt_ratio,leverage_ratio,0.5582300368828771,0.5582300368828771 * debt_ratio * leverage_ratio
NOTEARS,edge,edge_NOTEARS__debt_ratio__asset_liabilities,NOTEARS,debt_ratio,asset_liabilities,debt_ratio,asset_liabilities,-1.1177563249867835,-1.1177563249867835 * debt_ratio * asset_liabilities
NOTEARS,edge,edge_NOTEARS__debt_ratio2__debt_ratio,NOTEARS,debt_ratio2,debt_ratio,debt_ratio2,debt_ratio,-0.6155811528304794,-0.6155811528304794 * debt_ratio2 * debt_ratio
NOTEARS,edge,edge_NOTEARS__debt_ratio2__roa,NOTEARS,debt_ratio2,roa,debt_ratio2,roa,0.4255292428879352,0.4255292428879352 * debt_ratio2 * roa
NOTEARS,edge,edge_NOTEARS__debt_ratio2__capitalization_ratio,NOTEARS,debt_ratio2,capitalization_ratio,debt_ratio2,capitalization_ratio,0.656556507022898,0.656556507022898 * debt_ratio2 * capitalization_ratio
NOTEARS,edge,edge_NOTEARS__debt_ratio2__totaldebt_invcap,NOTEARS,debt_ratio2,totaldebt_invcap,debt_ratio2,totaldebt_invcap,0.7582772319097619,0.7582772319097619 * debt_ratio2 * totaldebt_invcap
NOTEARS,edge,edge_NOTEARS__roa__roe,NOTEARS,roa,roe,roa,roe,0.6050061109760706,0.6050061109760706 * roa * roe
NOTEARS,edge,edge_NOTEARS__roa__asset_turnover,NOTEARS,roa,asset_turnover,roa,asset_turnover,0.4388220989457979,0.4388220989457979 * roa * asset_turnover
