SET,DAG,MODEL,K_EDGE,N_FEAT,FEATURE_KEY,AUROC,AUPRC,F1,Brier,ECE
O,GES,XGBoost,0,13,d142655db65fda0d,0.9375230692402892,0.450339126175833,0.4148936170212766,0.0162821875704335,0.0108621952748553
O,GES,Logit,0,13,d142655db65fda0d,0.9244957335475606,0.2553444590095533,0.2589928057553957,0.0189134076914027,0.0113688048014908
O,GES,LightGBM,0,13,d142655db65fda0d,0.9237032372929196,0.4538263234172769,0.4477611940298507,0.0167719742735991,0.0155227687095691
O,GES,RF,0,13,d142655db65fda0d,0.9200085401422876,0.439903871727626,0.4460431654676259,0.0159308045848476,0.0054268940452893
O,GES,FFMLP,0,13,d142655db65fda0d,0.8708013982673644,0.3033915809554852,0.3694267515923566,0.0197598383084843,0.0083113094744383
O,GOLEM,XGBoost,0,13,d142655db65fda0d,0.9375230692402892,0.450339126175833,0.4148936170212766,0.0162821875704335,0.0108621952748553
O,GOLEM,Logit,0,13,d142655db65fda0d,0.9244957335475606,0.2553444590095533,0.2589928057553957,0.0189134076914027,0.0113688048014908
O,GOLEM,LightGBM,0,13,d142655db65fda0d,0.9237032372929196,0.4538263234172769,0.4477611940298507,0.0167719742735991,0.0155227687095691
O,GOLEM,RF,0,13,d142655db65fda0d,0.9200085401422876,0.439903871727626,0.4460431654676259,0.0159308045848476,0.0054268940452893
O,GOLEM,FFMLP,0,13,d142655db65fda0d,0.8708013982673644,0.3033915809554852,0.3694267515923566,0.0197598383084843,0.0083113094744383
O,NOTEARS,XGBoost,0,13,d142655db65fda0d,0.9375230692402892,0.450339126175833,0.4148936170212766,0.0162821875704335,0.0108621952748553
O,NOTEARS,Logit,0,13,d142655db65fda0d,0.9244957335475606,0.2553444590095533,0.2589928057553957,0.0189134076914027,0.0113688048014908
O,NOTEARS,LightGBM,0,13,d142655db65fda0d,0.9237032372929196,0.4538263234172769,0.4477611940298507,0.0167719742735991,0.0155227687095691
O,NOTEARS,RF,0,13,d142655db65fda0d,0.9200085401422876,0.439903871727626,0.4460431654676259,0.0159308045848476,0.0054268940452893
O,NOTEARS,FFMLP,0,13,d142655db65fda0d,0.8708013982673644,0.3033915809554852,0.3694267515923566,0.0197598383084843,0.0083113094744383
O,PC,XGBoost,0,13,d142655db65fda0d,0.9375230692402892,0.450339126175833,0.4148936170212766,0.0162821875704335,0.0108621952748553
O,PC,Logit,0,13,d142655db65fda0d,0.9244957335475606,0.2553444590095533,0.2589928057553957,0.0189134076914027,0.0113688048014908
O,PC,LightGBM,0,13,d142655db65fda0d,0.9237032372929196,0.4538263234172769,0.4477611940298507,0.0167719742735991,0.0155227687095691
O,PC,RF,0,13,d142655db65fda0d,0.9200085401422876,0.439903871727626,0.4460431654676259,0.0159308045848476,0.0054268940452893
O,PC,FFMLP,0,13,d142655db65fda0d,0.8708013982673644,0.3033915809554852,0.3694267515923566,0.0197598383084843,0.0083113094744383
F,GES,XGBoost,1,1,1d7f152d06cd3fe6,0.5359970616120604,0.0254940940304241,0.0503833515881708,0.0218632773594238,0.0033599525327651
F,GES,LightGBM,1,1,1d7f152d06cd3fe6,0.5343849288200853,0.025357648109314,0.0108695652173913,0.022065405924793,0.0050426586890668
F,GES,RF,1,1,1d7f152d06cd3fe6,0.5051693191769618,0.0219150391940916,0.024390243902439,0.0326093542074364,0.041245177523064
F,GES,Logit,1,1,1d7f152d06cd3fe6,0.4570930224142548,0.0246702953592727,0.0432166301969365,0.0215954477712777,0.0005149900036986
F,GES,FFMLP,1,1,1d7f152d06cd3fe6,0.4509249408341837,0.0226721474094217,0.0432166301969365,0.0217196586105947,0.0094406017718583
F,GES,LightGBM,2,2,30131398d464a285,0.698339376569613,0.0501114306489601,0.1034482758620689,0.0258596758368897,0.0242463079471585
F,GES,XGBoost,2,2,30131398d464a285,0.680774185610584,0.051208470088186,0.0992063492063492,0.0217449477163723,0.0062214049799922
F,GES,RF,2,2,30131398d464a285,0.6214256247693076,0.0386985993611331,0.0779220779220779,0.0236338462398658,0.0232110707296617
F,GES,Logit,2,2,30131398d464a285,0.4250457766101425,0.0212283988446621,0.0432166301969365,0.0216323390935674,0.0008641883428225
F,GES,FFMLP,2,2,30131398d464a285,0.4192667057486737,0.0308201644981047,0.032258064516129,0.0217171233887742,0.0066447764747563
F,GES,XGBoost,3,3,641083e9ba937b22,0.7912423735805632,0.1035346160227821,0.1534772182254196,0.0213876359694622,0.0096247469478328
F,GES,LightGBM,3,3,641083e9ba937b22,0.7477346910712089,0.0606758955965113,0.1258741258741259,0.0244823812921612,0.022910704615962
F,GES,RF,3,3,641083e9ba937b22,0.732689927698287,0.0764101042343277,0.1351351351351351,0.0217118635728263,0.010727425216662
F,GES,Logit,3,3,641083e9ba937b22,0.4180146340404281,0.0204070119597483,0.0432166301969365,0.0216345104434982,0.0009091415304516
F,GES,FFMLP,3,3,641083e9ba937b22,0.3667701616113367,0.0170496418092926,0.0432166301969365,0.0217040209841194,0.0044291673521314
F,GES,XGBoost,4,4,db1c59c1705ef4da,0.8042660905689326,0.1004425414266318,0.1594827586206896,0.0217902215013578,0.0105050927913818
F,GES,LightGBM,4,4,db1c59c1705ef4da,0.7609610555036874,0.0852009050165334,0.1610738255033557,0.0228823212791946,0.020846727322168
F,GES,RF,4,4,db1c59c1705ef4da,0.7451093210586882,0.0726799905659677,0.1219512195121951,0.0218721375454291,0.0092351132233715
F,GES,Logit,4,4,db1c59c1705ef4da,0.5578775575193058,0.0257043422168044,0.0431372549019607,0.0216889944413179,0.0011481034494742
