SET,DAG,MODEL,K_EDGE,N_FEAT,FEATURE_KEY,AUROC,AUPRC,F1,Brier,ECE
OFR,GES,XGBoost,5,5,,0.8890309833467225,0.2981405800611272,0.3419974513451878,0.018707269930209467,0.010897374913452607
OFR,GES,RF,5,5,,0.885457874662556,0.3159306321195235,0.34397701896384725,0.017855156388034664,0.006347665641599105
OFR,GES,LightGBM,5,5,,0.8687307756330924,0.27203937309856097,0.310389948059168,0.020230313695977224,0.019017620019558486
OFR,GES,FFMLP,5,5,,0.8596232205021315,0.17712962137728455,0.21662004188559805,0.0200908035144835,0.007544593184901027
OFR,GES,Logit,5,5,,0.8535524820693199,0.13926438867208088,0.20097595181405384,0.0205807423631064,0.007667651207174974
OFR,GES,XGBoost,10,10,,0.9081656063862894,0.31963022418700093,0.3631343262708901,0.01814562739260188,0.010697482673082629
OFR,GES,RF,10,10,,0.9050860889767028,0.32620521319269075,0.3548736957588107,0.017472105563321218,0.004991221694157115
OFR,GES,LightGBM,10,10,,0.9002185697432891,0.3146511666890619,0.3416070477991179,0.019767110844677062,0.01915751175522134
OFR,GES,FFMLP,10,10,,0.7843150878259547,0.11963929713543997,0.18717330087146505,0.020781506340332895,0.006088955499812949
OFR,GES,Logit,10,10,,0.73652430683718,0.0955304609536978,0.15335579651843037,0.021072747940542792,0.00636038492526614
OFR,GES,XGBoost,20,20,,0.9280000868489047,0.4351459846769344,0.42921558588456765,0.016403728913193298,0.011065385144944376
OFR,GES,RF,20,20,,0.9245988666217947,0.4090051529751707,0.40007195349264163,0.01635884350013978,0.004114844842046408
OFR,GES,LightGBM,20,20,,0.9209378234217022,0.4316782016454318,0.42702300003034,0.017578972521642054,0.017170015416518705
OFR,GES,Logit,20,20,,0.8522852118027661,0.14396908004658812,0.19280210640407822,0.020814031213173097,0.006824995887711302
OFR,GES,FFMLP,20,20,,0.8482369672362507,0.17331989747662152,0.26868960004817116,0.020341955698284977,0.008936093594157183
OFR,GES,RF,30,30,,0.928815019070572,0.42366814286172894,0.425025268001556,0.016073249315068493,0.00490377411238468
OFR,GES,XGBoost,30,30,,0.9277670422881792,0.4316157720107072,0.4333266883989368,0.016512558803373385,0.012101484302182436
OFR,GES,LightGBM,30,30,,0.921029738512423,0.44224569234807387,0.4243830045277172,0.017126283386887563,0.016973573704000957
OFR,GES,Logit,30,30,,0.8776856214400997,0.17614188353745677,0.27300747089784894,0.020498001982463616,0.007104992355993764
OFR,GES,FFMLP,30,30,,0.8610815583588453,0.2158977378444719,0.3049408057149746,0.01974322255853426,0.007410319968599796
OFR,GES,XGBoost,40,40,,0.9297016016385495,0.45254180797383653,0.455136426811279,0.016081543998052568,0.011470630070804375
OFR,GES,RF,40,40,,0.9271341308957741,0.4334947575868163,0.42281458010369677,0.01589048632932625,0.004129158512720156
OFR,GES,LightGBM,40,40,,0.9229700877897677,0.4633616290825781,0.4722229743414479,0.01686216247592935,0.016685930228132823
OFR,GES,Logit,40,40,,0.8883716554124961,0.19821468380666996,0.29839731542659065,0.020279441038312526,0.008113071013403568
OFR,GES,FFMLP,40,40,,0.8739301300562345,0.22285468204251718,0.33108862074335127,0.019697543363566352,0.008410997361752917
OFR,GES,XGBoost,ALL,59,,0.9361023659089099,0.4611207541541944,0.47233360766905974,0.016032633810967253,0.012359265765856857
OFR,GES,RF,ALL,59,,0.9332244103321246,0.43979031515128214,0.4326330614680396,0.015749707799832265,0.0033649426894045284
OFR,GES,LightGBM,ALL,59,,0.9260561188672009,0.47533922411747076,0.4483510860088701,0.016424879584539646,0.01628059993692773
OFR,GES,Logit,ALL,59,,0.9132878824065832,0.23216455753661175,0.3527527019920741,0.01978693797523718,0.006879348374877114
OFR,GES,FFMLP,ALL,59,,0.8864732831057168,0.26020045735177605,0.34228759940624354,0.019332000974588235,0.007928899042714498
OFR,GOLEM,XGBoost,5,5,,0.8229085698156633,0.13213745547527342,0.19338055491589617,0.02103270751486739,0.010915089846553002
OFR,GOLEM,LightGBM,5,5,,0.809258093232299,0.12146234349458311,0.18309627169279627,0.022189783387669162,0.02027816176743325
OFR,GOLEM,RF,5,5,,0.7896074429511257,0.1276393780412855,0.19394402987187606,0.020787384288509923,0.00936471903830025
OFR,GOLEM,FFMLP,5,5,,0.722527158376215,0.06458858445548889,0.10597670541893929,0.021235881713963546,0.00129284215000111
OFR,GOLEM,Logit,5,5,,0.7055279327789479,0.04667758909850905,0.08937369504867852,0.02142203605963904,0.0015319946001182906
OFR,GOLEM,XGBoost,10,10,,0.8862026040196568,0.311064396577253,0.3554651493598862,0.01819828394765368,0.01159060070408846
OFR,GOLEM,LightGBM,10,10,,0.8758169225090648,0.29869825191323673,0.3312785317516246,0.019375604009513124,0.01874948560575479
OFR,GOLEM,RF,10,10,,0.8755657844265439,0.2916595548277946,0.3338065318358611,0.018214588090578698,0.006215599664523343
OFR,GOLEM,FFMLP,10,10,,0.7649387353352006,0.08252840452388262,0.12714876560676897,0.02106338309458853,0.002410063803662526
OFR,GOLEM,Logit,10,10,,0.760577110971188,0.059806040626603815,0.1068055337056713,0.021595505455911546,0.002481316072439424
OFR,GOLEM,XGBoost,20,20,,0.9170419263087044,0.40560911441547365,0.4114217278127052,0.016861953376393825,0.010805480034596466
OFR,GOLEM,LightGBM,20,20,,0.9100035463302719,0.40050027986310643,0.4151591221930667,0.01825411909105381,0.017680861304577834
OFR,GOLEM,RF,20,20,,0.9055793183808468,0.3609973310789755,0.3862674261184521,0.017026723399496783,0.004553871959742802
OFR,GOLEM,FFMLP,20,20,,0.830403630284213,0.1577119012654205,0.24038138466111572,0.020445141125910643,0.007086934707433962
OFR,GOLEM,Logit,20,20,,0.8241751163413451,0.11662306121724031,0.18738715449898166,0.02106820754483602,0.004762677091866242
OFR,GOLEM,XGBoost,30,30,,0.9252672413169188,0.4400202065266261,0.447860377176278,0.01630556451964988,0.012041877996192624
OFR,GOLEM,LightGBM,30,30,,0.9190778093811292,0.4450570333472765,0.4478924752643884,0.016895991864784386,0.016792990029191695
OFR,GOLEM,RF,30,30,,0.9159139761599757,0.39992132491737564,0.38980382842308164,0.016588997931227284,0.005493877551020408
OFR,GOLEM,Logit,30,30,,0.8973170925881696,0.21756114665443765,0.3214352783902531,0.019910111757441652,0.007954038398915144
OFR,GOLEM,FFMLP,30,30,,0.8747624320588256,0.24459152444918725,0.33944153381744424,0.019465271606007233,0.006983605010952068
OFR,GOLEM,XGBoost,40,39,,0.930730037417403,0.4526639966822283,0.4725266106442577,0.016098239463478197,0.011879482311395805
OFR,GOLEM,LightGBM,40,39,,0.9300410361074322,0.47191051563362424,0.47283012257131124,0.0165218641130395,0.016382087585308302
OFR,GOLEM,RF,40,39,,0.9241971904379357,0.4121601902009228,0.38755716290618586,0.016381902599944088,0.004644786133631533
OFR,GOLEM,Logit,40,39,,0.9157507725933807,0.2438404671893001,0.3194628050792434,0.019306863894595672,0.00843144314765128
OFR,GOLEM,FFMLP,40,39,,0.8881024238081798,0.2682200408236245,0.36236024189850047,0.01927082762592146,0.007231938800997646
OFR,GOLEM,XGBoost,ALL,39,,0.930730037417403,0.4526639966822283,0.4725266106442577,0.016098239463478197,0.011879482311395805
OFR,GOLEM,LightGBM,ALL,39,,0.9300410361074322,0.47191051563362424,0.47283012257131124,0.016521864113039495,0.016382087585308295
OFR,GOLEM,RF,ALL,39,,0.9241971904379357,0.4121601902009228,0.38755716290618586,0.016381902599944088,0.004644786133631533
OFR,GOLEM,Logit,ALL,39,,0.9157507725933807,0.2438404671893001,0.3194628050792434,0.019306863894595672,0.00843144314765128
OFR,GOLEM,FFMLP,ALL,39,,0.8881024238081798,0.2682200408236245,0.36236024189850047,0.01927082762592146,0.007231938800997646
OFR,NOTEARS,XGBoost,5,5,,0.8322158774272459,0.14419817227285298,0.18954683302341352,0.02122480946693183,0.011945406355844854
OFR,NOTEARS,LightGBM,5,5,,0.8136562665103387,0.13158396636410927,0.17001516544329112,0.022482850650118437,0.02121513697818088
OFR,NOTEARS,RF,5,5,,0.8136457722676973,0.13630245002968008,0.18539688430036433,0.02067215588481968,0.009720212468549063
OFR,NOTEARS,FFMLP,5,5,,0.7679136721888095,0.0925140255973504,0.15235033902133657,0.020850754625038628,0.0034942568912227335
OFR,NOTEARS,Logit,5,5,,0.7194114539230375,0.07322869782795315,0.12617351136400576,0.021308657957370237,0.0041709387800760445
OFR,NOTEARS,XGBoost,10,10,,0.8589378378965196,0.21815795655060216,0.2717046028179751,0.019587786220578222,0.011399765706706769
OFR,NOTEARS,LightGBM,10,10,,0.8531992965238725,0.21896271745244883,0.2679381083868658,0.020545643035366948,0.01929285637180303
OFR,NOTEARS,RF,10,10,,0.842015690702101,0.19480655567265043,0.24497356712261192,0.019791612412636286,0.007496896840928151
OFR,NOTEARS,FFMLP,10,10,,0.7929102344196683,0.1109579706987267,0.1856230750940894,0.020828412317258318,0.004454808904450134
OFR,NOTEARS,Logit,10,10,,0.7492310253236931,0.07906585544560799,0.13334871371348728,0.021228654569743287,0.003964232339927482
OFR,NOTEARS,XGBoost,20,20,,0.9164607623886344,0.39187874639207576,0.39575457182042095,0.016998078086479164,0.011072566965464705
OFR,NOTEARS,RF,20,20,,0.9099731492136556,0.3508546656176345,0.3667400404851786,0.017258659658932064,0.004312887894883981
OFR,NOTEARS,LightGBM,20,20,,0.9090590644925491,0.3876971623872235,0.4225004164669152,0.018044726244796732,0.017678985659808265
OFR,NOTEARS,Logit,20,20,,0.8793922024158469,0.19383322666415898,0.272594123440717,0.020101397341865758,0.008885550153475297
OFR,NOTEARS,FFMLP,20,20,,0.8569468267581476,0.2157735610933317,0.30993436715953065,0.019891733133738924,0.007614511182296867
OFR,NOTEARS,XGBoost,30,30,,0.9284567673390219,0.43566697477354444,0.43008887096486603,0.016482599776278715,0.012700216122649077
OFR,NOTEARS,LightGBM,30,30,,0.9279530436922364,0.4412071429241169,0.43911896930276517,0.017092132724577096,0.016770616295236202
OFR,NOTEARS,RF,30,30,,0.9191176151290792,0.3728381828971025,0.37293958273104383,0.01698316153201006,0.0036972882303606376
OFR,NOTEARS,Logit,30,30,,0.8889810452265671,0.19273971899778974,0.288082360890674,0.020311172833943108,0.006841602302031425
