DATASET_ID,DATASET_NAME,WEIGHT_SEED,MODEL_SEED,SET,DAG,MODEL,N_FEAT,THRESHOLD,TIME_SEC,AUROC,AUPRC,F1,Brier,ECE
0,ds_000,12345,42,OF,GES,LightGBM,47,0.01,9.691798686981201,0.934342228108648,0.4960058989061314,0.475,0.01609244432805544,0.015472052896585712
1,ds_001,12346,42,OF,GES,LightGBM,47,0.01,11.524348020553589,0.9336582929847796,0.4819984256607492,0.5,0.01676602506691417,0.016932553657680642
2,ds_002,12347,42,OF,GES,LightGBM,47,0.01,11.20210313796997,0.9323917464590978,0.47920649818294747,0.4936708860759494,0.017009274609401086,0.016895891144198073
3,ds_003,12348,42,OF,GES,LightGBM,47,0.21,11.031682014465332,0.935333753103039,0.48887718540152947,0.45161290322580644,0.016341849710832423,0.015999253103384365
4,ds_004,12349,42,OF,GES,LightGBM,47,0.01,11.027005434036255,0.9380007382156893,0.4913562116560445,0.4968152866242038,0.016738343480109618,0.016169843224610354
5,ds_005,12350,42,OF,GES,LightGBM,47,0.02,10.536763191223145,0.9333072786619478,0.47837299126452637,0.5066666666666667,0.01693974999525822,0.01727906959948762
6,ds_006,12351,42,OF,GES,LightGBM,47,0.22,11.053407192230225,0.9336438181673434,0.4890430554936414,0.47540983606557374,0.016752399993399558,0.01667157013373655
7,ds_007,12352,42,OF,GES,LightGBM,47,0.14,8.296926736831665,0.9344146021958298,0.48549592987325907,0.4628099173553719,0.016950567298124997,0.01717103316176621
8,ds_008,12353,42,OF,GES,LightGBM,47,0.01,11.065693140029907,0.9331733866006615,0.47290024634653915,0.5,0.017138810281279608,0.01678586529761149
9,ds_009,12354,42,OF,GES,LightGBM,47,0.01,8.287843227386475,0.9382395727033893,0.47606054929306,0.5189873417721519,0.01701343906239791,0.01674119079271338
10,ds_010,12355,42,OF,GES,LightGBM,47,0.22,11.001108646392822,0.9347366668837889,0.49331277546082336,0.4878048780487805,0.016271547285400347,0.016225111176182958
11,ds_011,12356,42,OF,GES,LightGBM,47,0.02,8.330876588821411,0.932912839886807,0.4733022345414526,0.5068493150684932,0.016702061942369263,0.016324147740348967
12,ds_012,12357,42,OF,GES,LightGBM,47,0.06,11.024198055267334,0.9285848694733337,0.49586313827744993,0.4696969696969697,0.016229777218440624,0.01628001605133765
13,ds_013,12358,42,OF,GES,LightGBM,47,0.16,9.199270248413086,0.9377184792756801,0.49886263690143057,0.47540983606557374,0.01655104365586971,0.01724682904095001
14,ds_014,12359,42,OF,GES,LightGBM,47,0.01,11.059266328811646,0.9366907672376982,0.49640057700320767,0.48717948717948717,0.01611779746916565,0.015258009285332401
15,ds_015,12360,42,OF,GES,LightGBM,47,0.06,10.494309425354004,0.9328187535734705,0.4840473568515208,0.5116279069767442,0.016656629389197684,0.016472266985841956
